Rd,Home,Away,Score,Formation,Opp Formation,Result
1,Madura Utd,Persis,1–2,4-3-3,4-3-3,L
2,Persik,Madura Utd,1–2,4-3-3,4-2-3-1,W
3,Madura Utd,Persita,1–1,4-3-3,4-2-3-1,D
4,Bali Utd,Madura Utd,1–0,4-1-4-1,4-2-3-1,L
5,Madura Utd,Bhayangkara ,0–0,4-3-3,4-4-2,D
6,Malut Utd,Madura Utd,4–1,3-4-2-1,4-4-2,L
7,PSBS,Madura Utd,0–0,4-2-3-1,4-3-3,D
8,Madura Utd,Semen Padang,5–1,4-3-3,4-4-2,W
9,Dewa Utd,Madura Utd,0–2,4-2-3-1,4-3-3,W
10,Madura Utd,Persija,0–1,4-2-3-1,4-3-3,L
11,PSM,Madura Utd,1–1,4-4-2,4-3-3,D
12,Madura Utd,Persijap,2–1,4-2-3-1,4-4-2,W
13,Borneo,Madura Utd,1–0,5-3-2,4-3-3,L
14,Madura Utd,Persib,1–4,3-4-2-1,4-2-1-3,L
15,Arema,Madura Utd,2–2,4-4-2,4-1-4-1,D
16,Madura Utd,Persebaya,0–1,4-2-3-1,4-2-3-1,L
17,Madura Utd,PSIM,0–3,3-5-2,4-2-3-1,L
18,Persija,Madura Utd,2–0,3-5-2,4-3-3,L
19,Madura Utd,PSBS,0–0,3-5-2,3-4-3,D
20,Persijap,Madura Utd,1–0,4-2-3-1,4-3-3,L
21,Persis,Madura Utd,2–2,3-5-2,4-3-3,D
22,Madura Utd,Arema,2–2,3-5-2,4-3-3,D
23,Persib,Madura Utd,5–0,5-3-2,4-2-3-1,L
24,Madura Utd,Malut Utd,1–2,4-2-3-1,4-2-3-1,L
25,Persita,Madura Utd,4–1,4-4-2,4-2-3-1,L
26,Madura Utd,Borneo,1–3,4-3-3,4-4-2,L
27,Madura Utd,Persik,2–1,4-3-3,5-4-1,W
29,Madura Utd,Dewa Utd,1–2,4-3-3,4-2-3-1,L
30,Semen Padang,Madura Utd,0–1,4-2-3-1,4-2-3-1,W
31,Madura Utd,Bali Utd,2–0,4-3-2-1,4-2-3-1,W
32,Bhayangkara,Madura Utd,3–1,4-3-2-1,4-3-3,L
