Rd,Home,Away,Score,Formation,Opp Formation,Result
1,Dewa Utd,Malut Utd,1–3,4-2-3-1,4-3-3,W
2,Malut Utd,Bali Utd,3–3,4-4-2,4-4-1-1,D
3,Persija,Malut Utd,1–1,4-4-2,4-2-1-3,D
4,Malut Utd,PSIM,0–2,4-2-3-1,4-3-3,L
5,Persik,Malut Utd,2–1,4-2-1-3,4-3-3,L
6,Malut Utd,Madura Utd,4–1,4-4-2,3-4-2-1,W
7,Bhayangkara ,Malut Utd,0–1,4-2-3-1,4-2-3-1,W
8,Malut Utd,Borneo,3–2,4-2-1-3,4-2-3-1,W
9,Persis,Malut Utd,1–3,4-3-3,4-2-3-1,W
10,Malut Utd,Semen Padang,1–0,4-2-3-1,4-4-2,W
11,Persijap,Malut Utd,1–2,4-2-3-1,5-4-1,W
12,Malut Utd,Persib,2–0,4-4-2,4-3-3,W
13,Persita,Malut Utd,0–0,4-2-3-1,4-4-2,D
14,Malut Utd,Arema,1–1,4-2-3-1,4-4-2,D
15,PSM,Malut Utd,0–1,4-2-3-1,4-2-3-1,W
16,Malut Utd,PSBS,6–2,4-2-3-1,3-4-3,W
17,Persebaya,Malut Utd,2–1,4-3-3,4-4-2,L
18,Malut Utd,Persik,4–0,4-2-3-1,4-3-3,W
19,Malut Utd,Bhayangkara ,1–2,4-2-3-1,4-1-4-1,L
20,Persib,Malut Utd,2–0,3-4-3,4-2-3-1,L
21,Malut Utd,Persijap,4–0,4-3-3,4-4-2,W
22,Semen Padang,Malut Utd,2–2,4-2-3-1,4-4-2,D
23,Malut Utd,Persija,2–3,4-2-3-1,4-4-2,L
24,Madura Utd,Malut Utd,1–2,4-2-3-1,4-2-3-1,W
25,Malut Utd,PSM,3–3,4-2-3-1,4-4-2,D
26,Arema,Malut Utd,1–1,4-2-3-1,3-4-2-1,D
27,Malut Utd,Dewa Utd,1–2,4-4-2,4-2-3-1,L
28,Bali Utd,Malut Utd,4–1,4-4-2,4-4-2,L
29,Malut Utd,Persebaya,0–2,4-4-2,4-4-2,L
30,PSBS,Malut Utd,0–7,4-4-2,5-4-1,W
31,Malut Utd,Persis,5–2,3-5-2,4-4-2,W
32,PSIM,Malut Utd,2–0,4-2-3-1,4-2-3-1,L
