Rd,Home,Away,Score,Formation,Opp Formation,Result
1,Arema,PSBS,4–1,4-2-3-1,4-1-4-1,L
2,PSBS,Borneo,0–1,4-2-3-1,4-2-3-1,L
3,PSBS,Persis,2–2,3-5-2,3-4-3,D
4,PSBS,Persik,1–2,3-4-3,4-4-2,L
5,Semen Padang,PSBS,1–2,4-1-4-1,4-4-1-1,W
6,Dewa Utd,PSBS,3–1,4-4-2,4-1-3-2,L
7,PSBS,Madura Utd,0–0,4-3-3,4-2-3-1,D
8,PSIM,PSBS,2–2,5-4-1,4-2-3-1,D
9,PSBS,Persib,0–3,3-4-3,4-3-3,L
10,PSBS,Persebaya,0–0,4-2-3-1,4-2-3-1,D
11,Persija,PSBS,3–1,4-5-1,4-4-2,L
12,PSBS,Persita,2–1,4-2-3-1,4-3-3,W
13,PSM,PSBS,5–0,4-4-2,4-4-2,L
14,PSBS,Persijap,3–2,4-2-3-1,3-4-3,W
15,PSBS,Bali Utd,0–3,5-4-1,4-2-3-1,L
16,Malut Utd,PSBS,6–2,3-4-3,4-2-3-1,L
17,PSBS,Bhayangkara ,4–1,3-4-1-2,4-3-3,W
18,Persib,PSBS,1–0,5-3-2,4-3-3,L
19,Madura Utd,PSBS,0–0,3-4-3,3-5-2,D
20,PSBS,PSM,1–2,4-4-2,4-4-2,L
21,Persita,PSBS,2–1,5-3-2,4-2-3-1,L
22,Persis,PSBS,1–1,3-4-1-2,3-4-3,D
23,PSBS,PSIM,2–4,5-3-2,4-2-3-1,L
24,Persik,PSBS,2–1,3-5-2,4-3-3,L
25,PSBS,Semen Padang,0–2,4-2-3-1,4-4-2,L
26,Bali Utd,PSBS,6–1,4-4-2,4-3-3,L
27,Borneo,PSBS,5–1,4-2-3-1,4-2-3-1,L
28,PSBS,Persija,0–1,5-4-1,4-2-3-1,L
29,Persijap,PSBS,2–0,5-4-1,4-3-3,L
30,PSBS,Malut Utd,0–7,5-4-1,4-4-2,L
31,Persebaya,PSBS,4–0,5-3-2,4-2-3-1,L
32,PSBS,Dewa Utd,0–5,5-4-1,4-3-3,L
33,PSBS,Arema,2–5,4-2-3-1,4-3-3,L
