Rd,Home,Away,Score,Formation,Opp Formation,Result
1,Persebaya,PSIM,0–1,4-4-2,4-2-3-1,W
2,PSIM,Arema,1–1,4-2-3-1,5-4-1,D
3,PSIM,Persib,1–1,4-2-3-1,4-3-3,D
4,Malut Utd,PSIM,0–2,4-3-3,4-2-3-1,W
5,PSIM,Borneo,1–3,4-2-3-1,4-3-3,L
6,Bali Utd,PSIM,1–3,4-4-2,4-2-3-1,W
7,PSM,PSIM,0–0,3-4-3,4-1-4-1,D
8,PSIM,PSBS,2–2,4-2-3-1,5-4-1,D
9,Persita,PSIM,4–0,4-1-4-1,4-3-3,L
10,PSIM,Dewa Utd,2–0,4-2-3-1,4-2-3-1,W
11,PSIM,Persik,2–1,4-2-3-1,4-4-2,W
12,Persis,PSIM,2–2,4-2-3-1,5-3-2,D
13,PSIM,Bhayangkara ,1–0,4-4-2,4-1-4-1,W
14,Persija,PSIM,?,4-3-3,3-4-3,
15,Persijap,PSIM,1–1,4-2-3-1,4-4-2,D
16,PSIM,Semen Padang,1–0,4-2-3-1,4-2-3-1,W
17,Madura Utd,PSIM,0–3,4-2-3-1,3-5-2,W
18,PSIM,Persebaya,0–3,4-2-3-1,4-4-2,L
19,Borneo,PSIM,2–1,4-2-3-1,4-3-3,L
20,PSIM,Persis,0–0,4-2-3-1,4-2-3-1,D
21,Persik,PSIM,2–2,4-3-3,4-1-4-1,D
22,PSIM,Bali Utd,3–3,4-2-3-1,4-3-3,D
23,PSBS,PSIM,2–4,4-2-3-1,5-3-2,W
25,PSIM,Persijap,2–2,4-2-3-1,4-4-2,D
26,Dewa Utd,PSIM,1–0,4-2-3-1,4-2-3-1,L
27,PSIM,PSM,1–2,4-2-1-3,4-2-3-1,L
28,Bhayangkara ,PSIM,2–1,4-2-3-1,4-2-3-1,L
29,PSIM,Persija,1–1,4-4-2,4-4-2,D
30,PSIM,Persita,0–1,4-2-3-1,4-1-4-1,L
31,Persib,PSIM,1–0,4-3-3,4-2-3-1,L
32,PSIM,Malut Utd,2–0,4-2-3-1,4-2-3-1,W
