Rd,Home,Away,Score,Formation,Opp Formation,Result
1,Persebaya,PSIM,0–1,4-2-3-1,4-4-2,L
2,Persita,Persebaya,0–1,4-4-2,4-4-2,W
3,Persebaya,Bali Utd,5–2,4-4-2,4-2-1-3,W
4,PSM,Persebaya,1–1,4-2-3-1,4-4-2,D
5,Persib,Persebaya,1–0,4-4-2,4-2-3-1,L
6,Persebaya,Semen Padang,1–0,4-4-2,4-4-2,W
7,Dewa Utd,Persebaya,1–1,4-2-3-1,4-2-3-1,D
8,Persebaya,Persijap,4–0,4-4-2,4-4-2,W
9,Persebaya,Persija,1–3,4-2-3-1,5-3-2,L
10,PSBS,Persebaya,0–0,4-2-3-1,4-2-3-1,D
11,Persebaya,Persis,2–1,4-2-3-1,4-3-3,W
12,Persik,Persebaya,1–1,4-4-2,4-3-3,D
13,Persebaya,Arema,1–1,4-2-3-1,4-2-1-3,D
14,Bhayangkara ,Persebaya,1–1,4-2-3-1,4-4-2,D
15,Persebaya,Borneo,2–2,4-2-1-3,4-3-3,D
16,Madura Utd,Persebaya,0–1,4-2-3-1,4-2-3-1,W
17,Persebaya,Malut Utd,2–1,4-4-2,4-3-3,W
18,PSIM,Persebaya,0–3,4-4-2,4-2-3-1,W
19,Persebaya,Dewa Utd,1–1,4-4-2,4-3-3,D
20,Bali Utd,Persebaya,1–3,4-4-2,4-3-3,W
21,Persebaya,Bhayangkara ,1–2,4-3-3,4-2-1-3,L
22,Persijap,Persebaya,3–1,4-2-3-1,4-2-1-3,L
23,Persebaya,PSM,1–0,4-2-3-1,4-3-3,W
24,Persebaya,Persib,2–2,4-4-2,4-2-3-1,D
25,Borneo,Persebaya,5–1,4-3-3,4-3-3,L
26,Persebaya,Persita,1–0,4-3-3,4-2-1-3,W
27,Persija,Persebaya,3–0,4-4-2,4-2-3-1,L
29,Malut Utd,Persebaya,0–2,4-4-2,4-4-2,W
30,Arema,Persebaya,0–4,4-4-2,5-4-1,W
31,Persebaya,PSBS,4–0,4-2-3-1,5-3-2,W
32,Persis,Persebaya,0–0,4-3-3,4-4-2,D
33,Semen Padang,Persebaya,0–7,4-3-3,5-3-2,W
