Rd,Home,Away,Score,Formation,Opp Formation,Result
1,Persib,Semen Padang,2–0,4-2-3-1,4-1-4-1,W
2,Persijap,Persib,2–1,4-2-3-1,4-4-2,L
3,PSIM,Persib,1–1,4-3-3,4-2-3-1,D
4,Persib,Borneo,3–1,4-2-3-1,4-1-3-2,W
5,Persib,Persebaya,1–0,4-2-3-1,4-4-2,W
6,Arema,Persib,1–2,4-3-3,4-1-4-1,W
7,Persita,Persib,?,4-2-1-3,4-3-3,
8,Persib,PSM,1–0,4-2-3-1,4-2-3-1,W
9,PSBS,Persib,0–3,4-3-3,3-4-3,W
10,Persib,Persis,2–0,4-3-3,4-2-3-1,W
11,Bali Utd,Persib,0–1,4-3-3,4-3-2-1,W
12,Malut Utd,Persib,2–0,4-3-3,4-4-2,L
13,Persib,Dewa Utd,1–0,4-3-3,4-1-4-1,W
14,Madura Utd,Persib,1–4,4-2-1-3,3-4-2-1,W
15,Persib,Bhayangkara ,2–0,4-2-3-1,4-1-4-1,W
16,Persik,Persib,1–1,4-2-3-1,4-2-1-3,D
17,Persib,Persija,1–0,3-4-1-2,3-4-3,W
18,Persib,PSBS,1–0,4-3-3,5-3-2,W
19,Persis,Persib,0–1,4-2-3-1,4-2-3-1,W
20,Persib,Malut Utd,2–0,4-2-3-1,3-4-3,W
21,Borneo,Persib,1–1,4-2-3-1,4-3-3,D
22,Persib,Persita,1–0,4-1-4-1,4-4-2,W
23,Persib,Madura Utd,5–0,4-2-3-1,5-3-2,W
24,Persebaya,Persib,2–2,4-2-3-1,4-4-2,D
25,Persib,Persik,3–0,4-2-3-1,4-1-4-1,W
26,Semen Padang,Persib,0–2,4-2-3-1,4-2-3-1,W
27,Persib,Bali Utd,3–2,4-1-4-1,4-4-2,W
28,Dewa Utd,Persib,2–2,4-5-1,4-2-3-1,D
29,Persib,Arema,0–0,4-3-3,5-4-1,D
30,Bhayangkara ,Persib,?,4-2-3-1,4-1-4-1,
31,Persib,PSIM,1–0,4-2-3-1,4-3-3,W
32,Persija,Persib,1–2,4-2-3-1,4-2-1-3,W
