Rd,Home,Away,Score,Formation,Opp Formation,Result
1,Persija,Persita,4–0,4-4-2,4-2-1-3,W
2,Persis,Persija,0–3,4-4-2,4-2-3-1,W
3,Persija,Malut Utd,1–1,4-2-1-3,4-4-2,D
4,Dewa Utd,Persija,1–3,4-2-3-1,4-2-3-1,W
5,Persija,Bali Utd,1–1,4-2-3-1,4-2-3-1,D
6,PSM,Persija,2–0,4-2-3-1,4-5-1,L
7,Borneo,Persija,3–1,3-4-2-1,4-2-3-1,L
9,Persebaya,Persija,1–3,5-3-2,4-2-3-1,W
10,Madura Utd,Persija,0–1,4-3-3,4-2-3-1,W
11,Persija,PSBS,3–1,4-4-2,4-5-1,W
12,Arema,Persija,1–2,4-3-3,4-2-1-3,W
13,Persija,Persik,3–1,4-1-3-2,4-2-3-1,W
14,Persija,PSIM,?,3-4-3,4-3-3,
15,Semen Padang,Persija,1–0,4-2-3-1,4-4-2,L
16,Persija,Persijap,2–0,3-4-3,4-4-2,W
17,Persib,Persija,1–0,3-4-3,3-4-1-2,L
18,Persija,Madura Utd,2–0,4-3-3,3-5-2,W
19,Persita,Persija,0–2,4-2-3-1,4-4-2,W
20,Persija,Arema,0–2,4-4-2,4-1-4-1,L
21,Bali Utd,Persija,0–1,4-4-2,4-3-3,W
22,Persija,PSM,2–1,4-4-2,4-4-2,W
23,Malut Utd,Persija,2–3,4-4-2,4-2-3-1,W
24,Persija,Borneo,2–2,4-4-2,4-3-3,D
26,Persija,Dewa Utd,1–1,4-4-2,4-1-4-1,D
26,Bhayangkara ,Persija,3–2,3-4-3,4-5-1,L
27,Persija,Persebaya,3–0,4-2-3-1,4-4-2,W
28,PSBS,Persija,0–1,4-2-3-1,5-4-1,W
29,PSIM,Persija,1–1,4-4-2,4-4-2,D
30,Persija,Persis,4–0,4-2-3-1,5-4-1,W
31,Persijap,Persija,0–2,4-2-1-3,4-4-2,W
32,Persija,Persib,1–2,4-2-1-3,4-2-3-1,L
