Rd,Home,Away,Score,Formation,Opp Formation,Result
1,Bali Utd,Persik,1–1,4-3-3,4-4-2,D
2,Persik,Madura Utd,1–2,4-2-3-1,4-3-3,L
3,Dewa Utd,Persik,3–1,4-2-3-1,4-2-3-1,L
4,PSBS,Persik,1–2,4-4-2,3-4-3,W
5,Persik,Malut Utd,2–1,4-3-3,4-2-1-3,W
6,Bhayangkara ,Persik,1–0,4-3-3,4-3-3,L
7,Persijap,Persik,0–2,4-2-3-1,4-2-3-1,W
8,Persik,Persis,2–1,4-4-2,4-1-3-2,W
9,Borneo,Persik,2–0,4-2-3-1,4-2-3-1,L
10,Persik,PSM,1–1,4-2-3-1,4-2-3-1,D
11,PSIM,Persik,2–1,4-4-2,4-2-3-1,L
12,Persik,Persebaya,1–1,4-3-3,4-4-2,D
13,Persija,Persik,3–1,4-2-3-1,4-1-3-2,L
14,Persik,Semen Padang,2–1,4-2-3-1,4-3-3,W
15,Persita,Persik,3–0,4-2-3-1,4-2-3-1,L
16,Persik,Persib,1–1,4-2-1-3,4-2-3-1,D
17,Arema,Persik,2–1,4-4-2,4-1-4-1,L
18,Malut Utd,Persik,4–0,4-3-3,4-2-3-1,L
19,Persik,Bali Utd,3–2,4-2-3-1,4-4-2,W
20,Persik,Dewa Utd,2–1,4-2-3-1,4-4-2,W
21,Persik,PSIM,2–2,4-1-4-1,4-3-3,D
22,Persik,Bhayangkara ,3–4,4-3-3,4-2-3-1,L
23,Persis,Persik,2–1,4-1-3-2,4-4-2,L
24,Persik,PSBS,2–1,4-3-3,3-5-2,W
25,Persib,Persik,3–0,4-1-4-1,4-2-3-1,L
26,Persik,Persijap,0–0,4-3-3,4-3-3,D
27,Madura Utd,Persik,2–1,5-4-1,4-3-3,L
28,Persik,Persita,1–0,4-2-3-1,4-2-3-1,W
29,PSM,Persik,3–1,4-2-3-1,4-3-3,L
30,Persik,Borneo,0–1,4-2-3-1,4-2-3-1,L
31,Persik,Arema,3–2,4-3-3,5-4-1,W
32,Semen Padang,Persik,0–3,4-3-3,3-4-3,W
