Rd,Home,Away,Score,Formation,Opp Formation,Result
1,Madura Utd,Persis,1–2,4-3-3,4-3-3,W
2,Persis,Persija,0–3,4-2-3-1,4-4-2,L
3,PSBS,Persis,2–2,3-4-3,3-5-2,D
4,Bhayangkara ,Persis,2–0,4-1-4-1,4-4-2,L
5,Persis,Persijap,1–2,4-2-3-1,4-2-3-1,L
6,Borneo,Persis,1–0,4-3-3,4-2-3-1,L
7,Persis,Arema,2–2,4-2-1-3,4-4-2,D
8,Persik,Persis,2–1,4-1-3-2,4-4-2,L
9,Persis,Malut Utd,1–3,4-2-3-1,4-3-3,L
10,Persib,Persis,2–0,4-2-3-1,4-3-3,L
11,Persebaya,Persis,2–1,4-3-3,4-2-3-1,L
12,Persis,PSIM,2–2,5-3-2,4-2-3-1,D
13,Bali Utd,Persis,0–0,4-2-1-3,4-2-1-3,D
14,Persis,PSM,3–4,4-4-1-1,4-2-3-1,L
15,Dewa Utd,Persis,5–1,4-3-3,4-3-3,L
16,Persis,Persita,1–3,4-2-3-1,4-2-3-1,L
17,Semen Padang,Persis,2–3,4-2-3-1,4-2-1-3,W
18,Persis,Borneo,0–1,4-2-3-1,4-4-2,L
19,Persis,Persib,0–1,4-2-3-1,4-2-3-1,L
20,PSIM,Persis,0–0,4-2-3-1,4-2-3-1,D
21,Persis,Madura Utd,2–2,4-3-3,3-5-2,D
22,Persis,PSBS,1–1,3-4-3,3-4-1-2,D
23,Persis,Persik,2–1,4-4-2,4-1-3-2,W
24,Persijap,Persis,0–0,4-3-1-2,4-4-2,D
25,Persis,Bali Utd,3–0,4-3-1-2,4-1-3-2,W
26,PSM,Persis,1–1,4-1-4-1,4-4-2,D
27,Persis,Semen Padang,2–1,4-1-4-1,4-3-3,W
28,Arema,Persis,2–0,4-2-3-1,5-4-1,L
29,Persis,Bhayangkara ,2–1,4-3-3,4-2-3-1,W
30,Persija,Persis,4–0,5-4-1,4-2-3-1,L
31,Malut Utd,Persis,5–2,4-4-2,3-5-2,L
32,Persis,Persebaya,0–0,4-4-2,4-3-3,D
