Rd,Home,Away,Score,Formation,Opp Formation,Result
1,Persija,Persita,4–0,4-2-1-3,4-4-2,L
2,Persita,Persebaya,0–1,4-4-2,4-4-2,L
3,Madura Utd,Persita,1–1,4-2-3-1,4-3-3,D
4,Persita,Semen Padang,2–0,4-2-1-3,4-3-3,W
5,Persita,PSM,2–1,4-2-3-1,4-2-3-1,W
6,Persijap,Persita,1–2,4-2-3-1,4-4-2,W
7,Persita,Persib,?,4-3-3,4-2-1-3,
8,Arema,Persita,0–1,4-3-3,4-5-1,W
9,Persita,PSIM,4–0,4-3-3,4-1-4-1,W
10,Bali Utd,Persita,0–0,4-2-1-3,4-1-4-1,D
11,Bhayangkara ,Persita,1–1,4-4-2,4-3-3,D
12,PSBS,Persita,2–1,4-3-3,4-2-3-1,L
13,Persita,Malut Utd,0–0,4-4-2,4-2-3-1,D
14,Dewa Utd,Persita,1–0,4-4-2,4-3-3,L
15,Persita,Persik,3–0,4-2-3-1,4-2-3-1,W
16,Persis,Persita,1–3,4-2-3-1,4-2-3-1,W
17,Persita,Borneo,2–0,4-4-2,4-3-3,W
18,Persita,Bhayangkara ,1–1,4-4-2,4-3-3,D
19,Persita,Persija,0–2,4-4-2,4-2-3-1,L
20,Semen Padang,Persita,1–0,4-2-3-1,4-2-3-1,L
21,Persita,PSBS,2–1,4-2-3-1,5-3-2,W
22,Persib,Persita,1–0,4-4-2,4-1-4-1,L
23,Persita,Dewa Utd,0–1,4-4-2,4-2-3-1,L
24,PSM,Persita,2–4,4-3-3,4-4-2,W
25,Persita,Madura Utd,4–1,4-2-3-1,4-4-2,W
26,Persebaya,Persita,1–0,4-2-1-3,4-3-3,L
27,Persita,Arema,0–1,4-2-3-1,5-4-1,L
28,Persik,Persita,1–0,4-2-3-1,4-2-3-1,L
29,Persita,Bali Utd,0–1,4-2-3-1,4-4-2,L
30,PSIM,Persita,0–1,4-1-4-1,4-2-3-1,W
31,Borneo,Persita,2–0,4-3-3,4-1-3-2,L
32,Persita,Persijap,0–3,4-3-3,4-2-3-1,L
