Rd,Home,Away,Score,Formation,Opp Formation,Result
1,Arema,PSBS,4–1,4-1-4-1,4-2-3-1,W
2,PSIM,Arema,1–1,5-4-1,4-2-3-1,D
3,Arema,Bhayangkara ,2–1,4-2-3-1,4-5-1,W
4,Persijap,Arema,0–0,4-2-3-1,4-2-3-1,D
5,Arema,Dewa Utd,1–2,4-2-3-1,4-2-3-1,L
6,Arema,Persib,1–2,4-1-4-1,4-3-3,L
7,Persis,Arema,2–2,4-4-2,4-2-1-3,D
8,Arema,Persita,0–1,4-5-1,4-3-3,L
9,PSM,Arema,1–2,4-2-3-1,4-2-3-1,W
10,Arema,Borneo,1–3,4-3-3,4-3-3,L
11,Semen Padang,Arema,1–2,4-2-3-1,4-2-3-1,W
12,Arema,Persija,1–2,4-2-1-3,4-3-3,L
13,Persebaya,Arema,1–1,4-2-1-3,4-2-3-1,D
14,Malut Utd,Arema,1–1,4-4-2,4-2-3-1,D
15,Arema,Madura Utd,2–2,4-1-4-1,4-4-2,D
16,Bali Utd,Arema,1–0,4-3-3,4-4-2,L
17,Arema,Persik,2–1,4-1-4-1,4-4-2,W
18,Dewa Utd,Arema,2–0,4-2-3-1,4-3-3,L
19,Arema,Persijap,1–0,4-3-3,4-4-2,W
20,Persija,Arema,0–2,4-1-4-1,4-4-2,W
21,Arema,Semen Padang,3–0,4-1-4-1,4-2-3-1,W
22,Madura Utd,Arema,2–2,4-3-3,3-5-2,D
23,Borneo,Arema,3–1,4-3-3,4-3-3,L
24,Arema,Bali Utd,3–4,4-2-1-3,4-3-3,L
25,Bhayangkara ,Arema,2–1,4-2-3-1,4-3-3,L
26,Arema,Malut Utd,1–1,3-4-2-1,4-2-3-1,D
27,Persita,Arema,0–1,5-4-1,4-2-3-1,W
28,Arema,Persis,2–0,5-4-1,4-2-3-1,W
29,Persib,Arema,0–0,5-4-1,4-3-3,D
30,Arema,Persebaya,0–4,5-4-1,4-4-2,L
31,Persik,Arema,3–2,5-4-1,4-3-3,L
32,Arema,PSM,3–0,4-3-3,4-3-3,W
33,PSBS,Arema,2–5,4-3-3,4-2-3-1,W
