Rd,Home,Away,Score,Formation,Opp Formation,Result
1,Bali Utd,Persik,1–1,4-4-2,4-3-3,D
2,Malut Utd,Bali Utd,3–3,4-4-1-1,4-4-2,D
3,Persebaya,Bali Utd,5–2,4-2-1-3,4-4-2,L
4,Bali Utd,Madura Utd,1–0,4-2-3-1,4-1-4-1,W
5,Persija,Bali Utd,1–1,4-2-3-1,4-2-3-1,D
6,Bali Utd,PSIM,1–3,4-2-3-1,4-4-2,L
7,Semen Padang,Bali Utd,1–3,4-1-4-1,4-2-3-1,W
8,Bali Utd,Dewa Utd,0–0,4-2-3-1,4-3-3,D
9,Persijap,Bali Utd,1–2,4-3-3,4-4-2,W
10,Bali Utd,Persita,0–0,4-1-4-1,4-2-1-3,D
11,Bali Utd,Persib,0–1,4-3-2-1,4-3-3,L
12,Bhayangkara ,Bali Utd,2–1,4-2-3-1,4-1-4-1,L
13,Bali Utd,Persis,0–0,4-2-1-3,4-2-1-3,D
14,Borneo,Bali Utd,0–1,4-2-3-1,4-3-3,W
15,PSBS,Bali Utd,0–3,4-2-3-1,5-4-1,W
16,Bali Utd,Arema,1–0,4-4-2,4-3-3,W
17,PSM,Bali Utd,0–2,4-1-4-1,4-2-1-3,W
18,Bali Utd,Semen Padang,3–3,4-1-4-1,4-4-2,D
19,Persik,Bali Utd,3–2,4-4-2,4-2-3-1,L
20,Bali Utd,Persebaya,1–3,4-3-3,4-4-2,L
21,Bali Utd,Persija,0–1,4-3-3,4-4-2,L
22,PSIM,Bali Utd,3–3,4-3-3,4-2-3-1,D
23,Bali Utd,Persijap,0–0,3-5-2,4-4-2,D
24,Arema,Bali Utd,3–4,4-3-3,4-2-1-3,W
25,Persis,Bali Utd,3–0,4-1-3-2,4-3-1-2,L
26,Bali Utd,PSBS,6–1,4-3-3,4-4-2,W
27,Persib,Bali Utd,3–2,4-4-2,4-1-4-1,L
28,Bali Utd,Malut Utd,4–1,4-4-2,4-4-2,W
29,Persita,Bali Utd,0–1,4-4-2,4-2-3-1,W
30,Bali Utd,PSM,2–0,4-2-3-1,4-1-4-1,W
31,Madura Utd,Bali Utd,2–0,4-2-3-1,4-3-2-1,L
32,Bali Utd,Borneo,2–3,4-2-3-1,4-1-3-2,L
