Rd,Home,Away,Score,Formation,Opp Formation,Result
1,Borneo,Bhayangkara ,1–0,4-2-3-1,4-3-3,L
2,Bhayangkara ,PSM,1–1,4-2-3-1,4-2-3-1,D
3,Arema,Bhayangkara ,2–1,4-5-1,4-2-3-1,L
4,Bhayangkara ,Persis,2–0,4-4-2,4-1-4-1,W
5,Madura Utd,Bhayangkara ,0–0,4-4-2,4-3-3,D
6,Bhayangkara ,Persik,1–0,4-3-3,4-3-3,W
7,Bhayangkara ,Malut Utd,0–1,4-2-3-1,4-2-3-1,L
9,Semen Padang,Bhayangkara ,0–1,4-3-3,4-2-1-3,W
10,Bhayangkara ,Persijap,2–0,4-2-1-3,4-3-3,W
11,Bhayangkara ,Persita,1–1,4-3-3,4-4-2,D
12,Bhayangkara ,Bali Utd,2–1,4-1-4-1,4-2-3-1,W
13,PSIM,Bhayangkara ,1–0,4-1-4-1,4-4-2,L
14,Bhayangkara ,Persebaya,1–1,4-4-2,4-2-3-1,D
15,Persib,Bhayangkara ,2–0,4-1-4-1,4-2-3-1,L
16,Bhayangkara ,Dewa Utd,1–0,4-2-3-1,4-1-4-1,W
17,PSBS,Bhayangkara ,4–1,4-3-3,3-4-1-2,L
18,Persita,Bhayangkara ,1–1,4-3-3,4-4-2,D
19,Malut Utd,Bhayangkara ,1–2,4-1-4-1,4-2-3-1,W
20,Bhayangkara ,Borneo,1–2,4-3-3,4-4-2,L
21,Persebaya,Bhayangkara ,1–2,4-2-1-3,4-3-3,W
22,Persik,Bhayangkara ,3–4,4-2-3-1,4-3-3,W
23,Bhayangkara ,Semen Padang,4–0,4-2-3-1,4-2-3-1,W
24,Dewa Utd,Bhayangkara ,0–2,4-4-2,5-4-1,W
25,Bhayangkara ,Arema,2–1,4-3-3,4-2-3-1,W
26,Bhayangkara ,Persija,3–2,4-5-1,3-4-3,W
27,Persijap,Bhayangkara ,2–1,4-2-3-1,4-4-2,L
28,Bhayangkara ,PSIM,2–1,4-2-3-1,4-2-3-1,W
29,Persis,Bhayangkara ,2–1,4-2-3-1,4-3-3,L
30,Bhayangkara ,Persib,?,4-1-4-1,4-2-3-1,
31,PSM,Bhayangkara ,2–1,4-3-3,4-3-3,L
32,Bhayangkara,Madura Utd,3–1,4-3-3,4-3-2-1,W
