Rd,Home,Away,Score,Formation,Opp Formation,Result
1,Borneo,Bhayangkara ,1–0,4-3-3,4-2-3-1,W
2,PSBS,Borneo,0–1,4-2-3-1,4-2-3-1,W
3,Borneo,Persijap,3–1,4-2-3-1,4-3-2-1,W
4,Persib,Borneo,3–1,4-1-3-2,4-2-3-1,L
5,PSIM,Borneo,1–3,4-3-3,4-2-3-1,W
6,Borneo,Persis,1–0,4-2-3-1,4-3-3,W
7,Borneo,Persija,3–1,4-2-3-1,3-4-2-1,W
8,Malut Utd,Borneo,3–2,4-2-3-1,4-2-1-3,L
9,Borneo,Persik,2–0,4-2-3-1,4-2-3-1,W
10,Arema,Borneo,1–3,4-3-3,4-3-3,W
11,Borneo,Dewa Utd,4–0,4-2-3-1,4-3-3,W
12,Semen Padang,Borneo,0–2,4-3-3,4-2-3-1,W
13,Borneo,Madura Utd,1–0,4-3-3,5-3-2,W
14,Borneo,Bali Utd,0–1,4-3-3,4-2-3-1,L
15,Persebaya,Borneo,2–2,4-3-3,4-2-1-3,D
16,Borneo,PSM,2–1,4-3-3,4-4-1-1,W
17,Persita,Borneo,2–0,4-3-3,4-4-2,L
18,Persis,Borneo,0–1,4-4-2,4-2-3-1,W
19,Borneo,PSIM,2–1,4-3-3,4-2-3-1,W
20,Bhayangkara ,Borneo,1–2,4-4-2,4-3-3,W
21,Borneo,Persib,1–1,4-3-3,4-2-3-1,D
22,Dewa Utd,Borneo,2–1,4-2-3-1,4-2-3-1,L
23,Borneo,Arema,3–1,4-3-3,4-3-3,W
24,Persija,Borneo,2–2,4-3-3,4-4-2,D
25,Borneo,Persebaya,5–1,4-3-3,4-3-3,W
26,Madura Utd,Borneo,1–3,4-4-2,4-3-3,W
27,Borneo,PSBS,5–1,4-2-3-1,4-2-3-1,W
28,PSM,Borneo,1–2,4-3-3,4-1-4-1,W
29,Borneo,Semen Padang,3–0,4-3-3,5-4-1,W
30,Persik,Borneo,0–1,4-2-3-1,4-2-3-1,W
31,Borneo,Persita,2–0,4-1-3-2,4-3-3,W
32,Bali Utd,Borneo,2–3,4-1-3-2,4-2-3-1,W
