Rd,Home,Away,Score,Formation,Opp Formation,Result
1,Dewa Utd,Malut Utd,1–3,4-3-3,4-2-3-1,L
2,Semen Padang,Dewa Utd,2–0,4-4-2,4-2-3-1,L
3,Dewa Utd,Persik,3–1,4-2-3-1,4-2-3-1,W
4,Dewa Utd,Persija,1–3,4-2-3-1,4-2-3-1,L
5,Arema,Dewa Utd,1–2,4-2-3-1,4-2-3-1,W
6,Dewa Utd,PSBS,3–1,4-1-3-2,4-4-2,W
7,Dewa Utd,Persebaya,1–1,4-2-3-1,4-2-3-1,D
8,Bali Utd,Dewa Utd,0–0,4-3-3,4-2-3-1,D
9,Dewa Utd,Madura Utd,0–2,4-3-3,4-2-3-1,L
10,PSIM,Dewa Utd,2–0,4-2-3-1,4-2-3-1,L
11,Borneo,Dewa Utd,4–0,4-3-3,4-2-3-1,L
12,Dewa Utd,PSM,0–1,4-2-3-1,4-3-3,L
13,Persib,Dewa Utd,1–0,4-1-4-1,4-3-3,L
14,Dewa Utd,Persita,1–0,4-3-3,4-4-2,W
15,Dewa Utd,Persis,5–1,4-3-3,4-3-3,W
16,Bhayangkara ,Dewa Utd,1–0,4-1-4-1,4-2-3-1,L
17,Persijap,Dewa Utd,0–3,4-2-1-3,4-4-2,W
18,Dewa Utd,Arema,2–0,4-3-3,4-2-3-1,W
19,Persebaya,Dewa Utd,1–1,4-3-3,4-4-2,D
20,Persik,Dewa Utd,2–1,4-4-2,4-2-3-1,L
21,PSM,Dewa Utd,0–2,4-2-3-1,4-4-2,W
22,Dewa Utd,Borneo,2–1,4-2-3-1,4-2-3-1,W
23,Persita,Dewa Utd,0–1,4-2-3-1,4-4-2,W
24,Dewa Utd,Bhayangkara ,0–2,5-4-1,4-4-2,L
26,Persija,Dewa Utd,1–1,4-1-4-1,4-4-2,D
26,Dewa Utd,PSIM,1–0,4-2-3-1,4-2-3-1,W
27,Malut Utd,Dewa Utd,1–2,4-2-3-1,4-4-2,W
28,Dewa Utd,Persib,2–2,4-2-3-1,4-5-1,D
29,Madura Utd,Dewa Utd,1–2,4-2-3-1,4-3-3,W
30,Dewa Utd,Persijap,1–0,4-2-3-1,4-4-2,W
31,Dewa Utd,Semen Padang,1–0,4-3-3,3-4-3,W
32,PSBS,Dewa Utd,0–5,4-3-3,5-4-1,W
