Rd,Home,Away,Score,Formation,Opp Formation,Result
1,Persib,Semen Padang,2–0,4-1-4-1,4-2-3-1,L
2,Semen Padang,Dewa Utd,2–0,4-2-3-1,4-4-2,W
3,Semen Padang,PSM,1–1,4-2-3-1,4-2-3-1,D
4,Persita,Semen Padang,2–0,4-3-3,4-2-1-3,L
5,Semen Padang,PSBS,1–2,4-4-1-1,4-1-4-1,L
6,Persebaya,Semen Padang,1–0,4-4-2,4-4-2,L
7,Semen Padang,Bali Utd,1–3,4-2-3-1,4-1-4-1,L
8,Madura Utd,Semen Padang,5–1,4-4-2,4-3-3,L
9,Semen Padang,Bhayangkara ,0–1,4-2-1-3,4-3-3,L
10,Malut Utd,Semen Padang,1–0,4-4-2,4-2-3-1,L
11,Semen Padang,Arema,1–2,4-2-3-1,4-2-3-1,L
12,Semen Padang,Borneo,0–2,4-2-3-1,4-3-3,L
13,Persijap,Semen Padang,1–2,4-4-2,4-3-3,W
14,Persik,Semen Padang,2–1,4-3-3,4-2-3-1,L
15,Semen Padang,Persija,1–0,4-4-2,4-2-3-1,W
16,PSIM,Semen Padang,1–0,4-2-3-1,4-2-3-1,L
17,Semen Padang,Persis,2–3,4-2-1-3,4-2-3-1,L
18,Bali Utd,Semen Padang,3–3,4-4-2,4-1-4-1,D
19,PSM,Semen Padang,0–0,4-4-2,4-4-2,D
20,Semen Padang,Persita,1–0,4-2-3-1,4-2-3-1,W
21,Arema,Semen Padang,3–0,4-2-3-1,4-1-4-1,L
22,Semen Padang,Malut Utd,2–2,4-4-2,4-2-3-1,D
23,Bhayangkara ,Semen Padang,4–0,4-2-3-1,4-2-3-1,L
25,PSBS,Semen Padang,0–2,4-4-2,4-2-3-1,W
26,Semen Padang,Persib,0–2,4-2-3-1,4-2-3-1,L
27,Persis,Semen Padang,2–1,4-3-3,4-1-4-1,L
28,Semen Padang,Persijap,0–2,4-3-3,4-2-3-1,L
29,Borneo,Semen Padang,3–0,5-4-1,4-3-3,L
30,Semen Padang,Madura Utd,0–1,4-2-3-1,4-2-3-1,L
31,Dewa Utd,Semen Padang,1–0,3-4-3,4-3-3,L
32,Semen Padang,Persik,0–3,3-4-3,4-3-3,L
33,Semen Padang,Persebaya,0–7,5-3-2,4-3-3,L
