Date,Round,Match,Score,Venue,Opponent,Result,Avg Rating,Passes,Acc. Passes,Long Balls,Acc. Long Balls,Assists,Own Half Passes,Acc. Own Half Passes,Opp Half Passes,Acc. Opp Half Passes,Crosses,Acc. Crosses,Key Passes,Aerial Duels Lost,Aerial Duels Won,Duels Lost,Duels Won,Challenges Lost,Contests,Contests Won,Shots,Shots on Target,Shots off Target,Shots Blocked,Goals,Hit Woodwork,Big Chances Missed,xG,Clearances,Blocked Shots,Interceptions,Ball Recoveries,Tackles,Tackles Won,Errors → Shot,Dispossessed,Fouls Drawn,Fouls Committed,Offsides,Pen. Conceded,Pen. Won,Own Goals,Crosses Not Claimed,High Claims,Saves (Box),Saves,Sweeper Actions,Acc. Sweeper Actions,Touches,Unsuccessful Touches,Possession Lost
2025-08-08,1,Borneo FC Samarinda vs Bhayangkara Presisi FC,1 - 0,Home,Bhayangkara ,W,7.4,220,182,32,16,0,130,118,86,61,8,2,2,7,3,15,11,0,2,2,2,1,1,,0,,,0.07,17,3,4,26,0,0,1,,5,3,0,,,0,,,,,,,263,1,52
2025-08-18,2,Borneo FC Samarinda vs PSBS Biak,1 - 0,Away,PSBS,W,7.06,216,191,23,10,0,125,122,84,63,11,4,3,4,7,20,15,1,2,1,0,0,,,0,,,0,3,1,9,33,1,0,1,,4,4,0,,,0,,,,,,,244,1,30
2025-08-24,3,Borneo FC Samarinda vs Persijap Jepara,3 - 1,Home,Persijap,W,7,169,135,34,16,0,89,80,71,47,9,3,3,5,6,28,12,5,4,2,5,2,3,,0,,,0.47,12,2,11,32,0,0,1,,1,2,0,,,0,,,,,,,213,0,40
2025-12-05,4,Borneo FC Samarinda vs Persib Bandung,1 - 3,Away,Persib,L,6.78,155,118,15,2,0,78,67,68,45,8,2,3,7,5,29,12,8,3,3,2,1,1,,0,,,0.21,14,3,8,33,0,0,1,,0,0,1,,,0,,,,,,,196,2,45
2025-09-14,5,Borneo FC Samarinda vs PSIM Yogyakarta,3 - 1,Away,PSIM,W,6.78,141,116,28,17,0,88,76,42,31,2,1,1,6,3,28,15,3,1,1,2,0,2,,0,,,0.06,8,5,10,31,0,0,1,,1,3,0,,,0,,,,,,,183,1,34
2025-09-22,6,Borneo FC Samarinda vs Persis Solo,1 - 0,Home,Persis,W,7.38,211,176,19,12,0,84,76,118,94,20,11,7,9,6,20,16,3,6,6,5,1,2,2,0,,,0.1,2,2,7,52,2,2,1,,2,2,0,,,0,,,,,,,263,0,39
2025-09-28,7,Borneo FC Samarinda vs Persija Jakarta,3 - 1,Home,Persija,W,6.74,111,92,19,6,1,82,74,28,17,3,2,1,10,6,23,11,4,0,0,1,0,,1,0,,,0,25,2,7,29,3,2,1,1,1,0,0,,,0,,,,,,,145,0,31
2025-12-28,8,Borneo FC Samarinda vs Malut United FC,2 - 3,Away,Malut Utd,L,6.675,162,138,27,17,0,113,110,38,25,4,1,,8,5,20,10,5,1,1,0,0,,,0,,,0,4,7,5,28,1,0,0,,1,3,0,,,0,,,,,,,197,1,27
2025-10-18,9,Borneo FC Samarinda vs Persik Kediri,2 - 0,Home,Persik,W,,,,,,0,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,
2025-10-26,10,Borneo FC Samarinda vs Arema FC,3 - 1,Away,Arema,W,6.866666666666667,188,174,20,13,0,111,109,67,55,6,1,3,8,9,29,21,4,8,6,1,0,1,,0,,,0,16,0,14,42,1,0,0,,0,1,1,,,0,,,,,,,243,4,31
