Date,Round,Match,Score,Venue,Opponent,Result,Avg Rating,Passes,Acc. Passes,Long Balls,Acc. Long Balls,Assists,Own Half Passes,Acc. Own Half Passes,Opp Half Passes,Acc. Opp Half Passes,Crosses,Acc. Crosses,Key Passes,Aerial Duels Lost,Aerial Duels Won,Duels Lost,Duels Won,Challenges Lost,Contests,Contests Won,Shots,Shots on Target,Shots off Target,Shots Blocked,Goals,Hit Woodwork,Big Chances Missed,xG,Clearances,Blocked Shots,Interceptions,Ball Recoveries,Tackles,Tackles Won,Errors → Shot,Dispossessed,Fouls Drawn,Fouls Committed,Offsides,Pen. Conceded,Pen. Won,Own Goals,Crosses Not Claimed,High Claims,Saves (Box),Saves,Sweeper Actions,Acc. Sweeper Actions,Touches,Unsuccessful Touches,Possession Lost
2025-08-08,1,Persijap Jepara vs PSM Makassar,1 - 1,Away,PSM,D,6.76,159,133,25,13,0,83,76,69,52,5,1,1,3,9,23,18,6,5,4,1,0,1,,0,,,0.14,15,2,6,34,0,0,0,,2,2,0,,,0,,,,,,,209,3,33
2025-08-18,2,Persijap Jepara vs Persib Bandung,2 - 1,Home,Persib,W,6.74,61,47,16,9,0,27,24,29,21,1,0,2,8,8,39,19,3,1,1,1,1,,,0,,,0.03,18,0,6,30,3,2,0,1,4,4,0,,,0,,,,,,,88,2,28
2025-08-24,3,Persijap Jepara vs Borneo FC Samarinda,1 - 3,Away,Borneo,L,6.516666666666667,109,91,14,8,0,50,47,52,40,2,1,4,7,6,26,12,7,3,3,2,0,2,,0,,,0.27,13,2,7,29,1,0,0,,4,4,0,1,,0,,,,,,,139,1,42
2025-08-30,4,Persijap Jepara vs Arema FC,0 - 0,Home,Arema,D,7.25,141,120,26,14,0,58,52,81,66,3,2,2,6,7,28,18,1,2,2,4,2,1,1,0,,,0.21,10,1,4,42,1,0,1,2,3,3,0,,,0,,,,,,,193,0,37
2025-09-13,5,Persijap Jepara vs Persis Solo,2 - 1,Away,Persis,W,6.85,90,62,20,8,0,31,26,51,32,9,3,1,10,10,35,19,3,4,4,1,1,,,0,,,0.04,9,3,5,33,0,0,0,1,4,3,2,,,0,,,,,,,134,2,32
2025-09-21,6,Persijap Jepara vs Persita Tangerang,1 - 2,Home,Persita,L,6.85,142,123,17,10,0,60,54,75,62,2,1,8,7,4,24,12,3,3,2,1,0,1,,0,,,0.05,6,4,9,36,0,0,2,1,2,3,0,,,0,,,,,,,174,0,26
2025-09-27,7,Persijap Jepara vs Persik Kediri,0 - 2,Home,Persik,L,6.925,160,136,19,12,0,94,84,59,48,6,4,2,5,5,33,28,3,8,7,2,1,1,,0,,,0.05,14,3,6,40,1,0,1,,2,3,0,,,0,,,,,,,215,2,38
2025-12-28,8,Persijap Jepara vs Persebaya Surabaya,0 - 4,Away,Persebaya,L,6.32,129,114,17,12,0,56,52,67,57,4,0,3,4,8,29,18,7,6,4,2,1,,1,0,,,0.05,16,1,5,42,1,1,1,,2,0,0,,,0,,,,,,,181,1,33
2025-10-19,9,Persijap Jepara vs Bali United FC,1 - 2,Home,Bali Utd,L,6.85,120,102,13,8,0,49,44,70,58,4,2,1,6,7,24,24,8,6,5,1,0,1,,0,,,0,8,3,6,38,0,0,0,1,5,1,0,,1,0,,,,,,,184,2,35
2025-10-27,10,Persijap Jepara vs Bhayangkara Presisi FC,0 - 2,Away,Bhayangkara ,L,6.7,179,144,27,14,0,102,93,69,46,4,1,1,5,3,29,21,4,2,2,1,0,1,,0,,,0.01,21,1,8,37,1,1,1,1,5,5,0,,,0,,,,,,,234,0,51
2025-11-03,11,Persijap Jepara vs Malut United FC,1 - 2,Home,Malut Utd,L,6.3428571428571425,107,75,18,4,0,62,47,42,28,1,0,2,6,4,31,19,4,7,6,3,1,2,,0,,,0.4,17,3,9,31,3,2,4,,0,4,0,1,,0,,,,,,,164,1,33
2025-11-09,12,Persijap Jepara vs Madura United FC,1 - 2,Away,Madura Utd,L,6.525,65,51,13,8,0,34,30,25,17,3,1,1,4,5,22,19,2,2,1,1,0,,1,0,,,0.01,22,0,6,33,0,0,0,1,1,1,0,,,0,,,,,,,100,2,26
