Date,Round,Match,Score,Venue,Opponent,Result,Avg Rating,Passes,Acc. Passes,Long Balls,Acc. Long Balls,Assists,Own Half Passes,Acc. Own Half Passes,Opp Half Passes,Acc. Opp Half Passes,Crosses,Acc. Crosses,Key Passes,Aerial Duels Lost,Aerial Duels Won,Duels Lost,Duels Won,Challenges Lost,Contests,Contests Won,Shots,Shots on Target,Shots off Target,Shots Blocked,Goals,Hit Woodwork,Big Chances Missed,xG,Clearances,Blocked Shots,Interceptions,Ball Recoveries,Tackles,Tackles Won,Errors → Shot,Dispossessed,Fouls Drawn,Fouls Committed,Offsides,Pen. Conceded,Pen. Won,Own Goals,Crosses Not Claimed,High Claims,Saves (Box),Saves,Sweeper Actions,Acc. Sweeper Actions,Touches,Unsuccessful Touches,Possession Lost
2025-08-10,1,Persik Kediri vs Bali United FC,1 - 1,Away,Bali Utd,D,6.725,97,61,27,11,0,41,28,48,29,5,1,1,6,7,36,17,5,4,2,1,0,1,,0,,,0.03,6,3,5,36,2,2,2,,4,2,0,,,0,,,,,,,134,1,41
2025-08-16,2,Persik Kediri vs Madura United FC,1 - 2,Home,Madura Utd,L,6.775,243,208,31,18,0,111,102,128,102,11,5,2,7,5,32,17,0,5,3,4,0,1,3,0,,,0.04,3,1,5,53,2,2,1,,5,7,0,,,0,,,,,,,311,2,54
2025-08-22,3,Persik Kediri vs Dewa United FC,1 - 3,Away,Dewa Utd,L,6.58,229,197,32,17,0,131,122,92,70,4,0,,1,3,28,16,3,3,2,1,0,1,,0,,,0.13,9,2,6,34,4,3,2,1,6,4,1,,,0,,,,,,,292,2,38
2025-08-29,4,Persik Kediri vs PSBS Biak,2 - 1,Away,PSBS,W,6.833333333333333,123,100,24,18,0,52,47,70,52,9,5,1,9,11,38,31,0,3,3,2,0,1,1,0,,,0.29,12,2,3,41,2,2,0,2,8,9,0,,,0,,,,,,,162,2,32
2025-09-12,5,Persik Kediri vs Malut United FC,2 - 1,Home,Malut Utd,W,6.7,101,82,24,10,0,59,54,40,26,5,2,,9,5,29,12,1,1,1,1,0,1,,0,,,0.01,17,2,4,34,2,1,0,1,2,3,0,,,0,,,,,,,129,0,25
2025-09-19,6,Persik Kediri vs Bhayangkara Presisi FC,0 - 1,Away,Bhayangkara ,L,6.7,174,131,35,19,0,71,63,97,63,11,3,,4,1,37,14,3,3,1,3,0,2,1,0,,,0.03,11,1,6,48,1,1,0,,2,3,0,,,0,,,,,,,213,1,43
2025-09-27,7,Persik Kediri vs Persijap Jepara,2 - 0,Away,Persijap,W,6.9,125,108,21,15,0,76,69,46,37,5,2,2,2,7,26,14,7,5,3,1,0,1,,0,,,0.02,13,1,8,36,0,0,2,2,3,3,0,,,0,,,,,,,162,0,33
2025-12-27,8,Persik Kediri vs Persis Solo,2 - 1,Home,Persis,W,6.566666666666666,164,129,26,11,0,94,86,57,35,3,2,2,6,5,39,15,5,7,5,0,0,,,0,,,0,14,1,11,37,0,0,0,3,0,4,0,,,0,,,,,,,205,1,51
2025-10-18,9,Persik Kediri vs Borneo FC Samarinda,0 - 2,Away,Borneo,L,,,,,,0,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,
2025-10-25,10,Persik Kediri vs PSM Makassar,1 - 1,Home,PSM,D,6.46,165,135,24,12,0,75,69,89,66,10,1,1,7,6,29,19,4,4,4,0,0,,,0,,,0,16,2,3,26,1,1,0,,5,2,0,,,0,,,,,,,215,1,42
2025-10-31,11,Persik Kediri vs PSIM Yogyakarta,1 - 2,Away,PSIM,L,6.58,179,140,32,20,0,76,66,84,61,8,3,2,3,2,26,15,2,4,4,0,0,,,0,,,0,3,1,16,46,0,0,0,,4,7,0,1,,0,,,,,,,218,0,47
2025-11-07,12,Persik Kediri vs Persebaya Surabaya,1 - 1,Home,Persebaya,D,6.64,216,190,27,17,0,112,106,104,84,7,0,3,3,6,35,18,11,4,2,2,0,1,1,0,,,0.1,8,2,3,36,2,1,3,,3,5,0,,,0,,,,,,,263,3,34
2025-11-20,13,Persik Kediri vs Persija Jakarta,1 - 3,Away,Persija,L,6.05,106,80,13,7,0,65,50,37,27,2,0,,5,4,32,14,8,1,0,1,0,1,,0,,,0.08,10,2,5,28,2,0,1,,0,6,0,,,0,,,,,,,126,2,28
2025-11-27,14,Persik Kediri vs Semen Padang FC,2 - 1,Home,Semen Padang,W,6.716666666666667,233,188,42,21,0,147,129,77,53,2,1,3,7,12,30,28,3,0,0,0,0,,,0,,,0,12,3,7,53,1,0,3,2,2,2,0,,,0,,,,,,,284,3,54
