Date,Round,Match,Score,Venue,Opponent,Result,Avg Rating,Passes,Acc. Passes,Long Balls,Acc. Long Balls,Assists,Own Half Passes,Acc. Own Half Passes,Opp Half Passes,Acc. Opp Half Passes,Crosses,Acc. Crosses,Key Passes,Aerial Duels Lost,Aerial Duels Won,Duels Lost,Duels Won,Challenges Lost,Contests,Contests Won,Shots,Shots on Target,Shots off Target,Shots Blocked,Goals,Hit Woodwork,Big Chances Missed,xG,Clearances,Blocked Shots,Interceptions,Ball Recoveries,Tackles,Tackles Won,Errors → Shot,Dispossessed,Fouls Drawn,Fouls Committed,Offsides,Pen. Conceded,Pen. Won,Own Goals,Crosses Not Claimed,High Claims,Saves (Box),Saves,Sweeper Actions,Acc. Sweeper Actions,Touches,Unsuccessful Touches,Possession Lost
2025-08-09,1,Persis Solo vs Madura United FC,2 - 1,Away,Madura Utd,W,6.725,145,122,14,9,0,84,76,53,40,4,1,1,8,10,42,20,8,2,1,0,0,,,0,,,0,12,2,12,50,0,0,0,4,2,7,0,,,0,,,,,,,211,2,39
2025-08-16,2,Persis Solo vs Persija Jakarta,0 - 3,Home,Persija,L,6.225,149,117,15,4,0,87,78,55,36,6,1,4,2,4,25,11,3,3,2,0,0,,,0,,,0,5,3,4,30,3,2,4,1,3,2,1,,,0,,,,,,,187,1,34
2025-08-23,3,Persis Solo vs PSBS Biak,2 - 2,Away,PSBS,D,7.233333333333333,103,91,15,11,0,71,63,31,27,1,0,1,5,5,18,19,0,3,3,2,1,1,,0,,,0.22,10,4,6,31,0,0,1,,1,3,1,,,0,,,,,,,139,0,23
2025-08-29,4,Persis Solo vs Bhayangkara Presisi FC,0 - 2,Away,Bhayangkara ,L,6.525,234,195,27,14,0,135,124,91,65,7,2,1,4,7,32,14,4,3,1,1,0,,1,0,,,0,7,4,11,44,1,0,3,3,3,1,0,,,0,,,,,,,283,0,48
2025-09-13,5,Persis Solo vs Persijap Jepara,1 - 2,Home,Persijap,L,7.02,158,130,11,3,0,86,77,64,47,5,3,2,8,19,36,37,11,9,9,2,1,1,,1,,,0.19,22,4,7,54,3,2,0,,3,5,3,,,0,,,,,,,211,3,51
2025-09-22,6,Persis Solo vs Borneo FC Samarinda,0 - 1,Away,Borneo,L,6.74,136,108,18,9,0,74,63,57,42,5,1,,3,7,27,14,9,3,1,0,0,,,0,,,0,12,7,10,30,1,0,1,,2,3,1,,,0,,,,,,,181,1,42
2025-09-28,7,Persis Solo vs Arema FC,2 - 2,Home,Arema,D,6.4,133,111,15,6,1,69,59,61,50,3,0,3,7,6,30,18,4,3,2,0,0,,,0,,,0,20,3,4,32,1,0,6,1,4,3,0,,,0,,,,,,,176,4,42
2025-12-27,8,Persis Solo vs Persik Kediri,1 - 2,Away,Persik,L,6.7,188,151,36,17,1,107,95,66,47,8,2,3,6,7,38,21,7,5,1,3,3,,,1,,,0.28,9,0,11,55,3,2,1,,3,4,0,1,,0,,,,,,,236,6,41
2025-10-20,9,Persis Solo vs Malut United FC,1 - 3,Home,Malut Utd,L,6.5,192,164,19,9,0,77,72,106,86,6,1,,7,7,23,13,5,6,3,3,1,1,1,0,,,0.45,7,2,6,42,2,1,1,,3,3,1,,,0,,,,,,,237,0,34
2025-10-27,10,Persis Solo vs Persib Bandung,0 - 2,Away,Persib,L,6.575,271,236,20,11,0,132,128,135,106,11,2,1,5,2,35,14,2,4,4,0,0,,,0,,,0,4,3,4,32,0,0,0,2,0,2,1,,,0,,,,,,,325,5,37
2025-11-02,11,Persis Solo vs Persebaya Surabaya,1 - 2,Away,Persebaya,L,6.58,193,158,29,13,0,102,93,86,60,5,2,1,2,4,33,15,9,1,1,1,0,1,,0,,,0,9,6,9,32,2,1,2,4,1,3,3,,,0,,,,,,,247,0,46
2025-11-08,12,Persis Solo vs PSIM Yogyakarta,2 - 2,Home,PSIM,D,6.766666666666667,169,128,26,12,0,80,71,82,52,11,5,7,4,12,44,32,2,16,10,5,1,3,1,1,,,0.45,6,1,6,42,3,3,2,2,4,10,0,,,0,,,,,,,234,1,55
2025-11-23,13,Persis Solo vs Bali United FC,0 - 0,Away,Bali Utd,D,7.16,113,92,16,7,0,61,53,46,34,5,2,1,3,3,25,14,3,8,4,2,1,,1,0,,,0.11,28,7,9,35,4,2,2,1,0,1,0,,,0,,,,,,,171,0,36
2025-11-29,14,Persis Solo vs PSM Makassar,3 - 4,Home,PSM,L,6.325,86,65,22,12,0,43,34,39,28,2,2,2,9,5,35,20,4,2,2,3,1,2,,1,,,0.11,16,1,5,26,1,0,2,1,2,2,0,1,,0,,,,,,,127,1,28
2025-12-20,15,Persis Solo vs Dewa United FC,1 - 5,Away,Dewa Utd,L,6.18,184,156,26,11,0,93,87,80,60,4,0,4,3,1,26,9,9,3,2,0,0,,,0,,,0,7,1,10,35,0,0,1,,1,1,2,,,0,,,,,,,217,2,29
2026-01-04,16,Persis Solo vs Persita Tangerang,1 - 3,Home,Persita,L,6.733333333333333,271,240,38,26,0,133,127,132,109,11,6,1,7,13,27,18,2,2,0,2,2,,,0,,,0.23,6,1,6,40,1,1,1,,3,2,1,,1,0,,,,,,,318,1,39
2026-01-11,17,Persis Solo vs Semen Padang FC,3 - 2,Away,Semen Padang,W,6.466666666666667,106,83,30,15,1,60,54,36,24,0,0,1,5,6,32,14,5,0,0,0,0,,,0,,,0,10,3,8,37,4,3,1,,0,9,0,2,,0,,,,,,,130,1,42
2026-01-23,18,Persis Solo vs Borneo FC Samarinda,0 - 1,Home,Borneo,L,6.65,175,145,12,4,0,80,75,89,66,12,0,,5,6,38,13,7,6,3,4,1,2,1,0,,,0.41,9,2,10,38,3,0,1,,1,11,1,,,0,,,,,,,225,1,38
2026-01-31,19,Persis Solo vs Persib Bandung,0 - 1,Home,Persib,L,6.35,99,76,27,11,0,54,49,41,25,2,1,,11,9,39,15,4,2,1,1,0,1,,0,,,0.14,13,2,2,27,0,0,2,1,1,3,0,,,0,,,,,,,130,1,32
2026-02-06,20,Persis Solo vs PSIM Yogyakarta,0 - 0,Away,PSIM,D,7.1,112,90,20,9,0,61,56,41,29,4,2,2,1,5,20,14,8,1,1,0,0,,,0,,,0,17,4,10,39,1,0,0,1,2,1,0,,,0,,,,,,,158,6,31
2026-02-13,21,Persis Solo vs Madura United FC,2 - 2,Home,Madura Utd,D,6.825,150,124,12,6,0,66,58,73,59,5,3,1,7,1,32,17,5,4,4,7,3,2,2,1,,1,1.69,9,3,9,41,1,0,1,2,1,3,0,1,,0,,,,,,,203,1,38
2026-02-21,22,Persis Solo vs PSBS Biak,1 - 1,Home,PSBS,D,6.933333333333334,98,84,17,9,0,66,60,30,23,1,0,1,3,3,16,10,1,1,1,2,1,1,,0,,1,0.53,7,5,3,25,0,0,1,,2,3,1,,,0,,,,,,,128,0,24
2026-03-01,23,Persis Solo vs Persik Kediri,2 - 1,Home,Persik,W,6.775,89,77,22,16,0,49,46,28,24,2,1,,4,4,18,8,3,3,2,3,1,1,1,0,,,0.08,9,1,6,26,0,0,0,,3,6,0,,,0,,,,,,,115,0,15
2026-03-05,24,Persis Solo vs Persijap Jepara,0 - 0,Away,Persijap,D,7.1,136,118,24,17,0,73,70,58,45,5,0,3,7,5,26,15,3,3,2,2,1,1,,0,,,0.18,11,3,3,28,3,2,1,,1,5,0,,,0,,,,,,,181,1,28
2026-03-12,25,Persis Solo vs Bali United FC,3 - 0,Home,Bali Utd,W,7.12,96,86,14,9,0,52,50,39,33,1,1,1,3,6,27,10,12,2,2,1,0,1,,0,,,0.01,20,5,8,32,1,0,0,,1,4,0,,,0,,,,,,,134,1,25
2026-04-04,26,Persis Solo vs PSM Makassar,1 - 1,Away,PSM,D,6.46,166,156,15,10,0,105,103,58,50,1,0,,8,5,22,10,3,1,0,1,0,,1,0,,1,0.53,8,1,4,27,0,0,2,,0,1,1,,,0,,,,,,,216,4,16
2026-04-12,27,Persis Solo vs Semen Padang FC,2 - 1,Home,Semen Padang,W,6.58,127,102,15,7,0,69,61,53,38,2,1,1,5,5,30,16,6,0,0,0,0,,,0,,,0,14,2,4,36,0,0,2,2,1,2,0,,,0,,,,,,,170,0,39
2026-04-18,28,Persis Solo vs Arema FC,0 - 2,Away,Arema,L,6.5,183,166,12,6,0,85,83,90,77,3,1,,4,3,24,7,2,2,1,2,0,2,,0,,,0.01,6,1,6,31,1,1,0,,0,6,2,,,0,,,,,,,246,3,27
2026-04-22,29,Persis Solo vs Bhayangkara Presisi FC,2 - 1,Home,Bhayangkara ,W,6.9,155,141,6,5,0,88,83,63,55,3,1,3,5,2,34,10,8,6,3,5,2,2,1,1,,1,0.59,10,2,9,24,0,0,0,,4,3,0,,,0,,,,,,,211,0,24
2026-04-27,30,Persis Solo vs Persija Jakarta,0 - 4,Away,Persija,L,6.114285714285714,159,131,22,15,0,101,86,52,41,2,0,1,4,3,38,14,8,4,0,1,0,1,,0,,,0.01,15,1,9,34,1,1,0,1,2,3,0,,,0,,,,,,,216,2,45
2026-05-02,31,Persis Solo vs Malut United FC,2 - 5,Away,Malut Utd,L,6.266666666666667,189,149,18,8,1,65,58,124,91,14,2,2,8,5,30,18,6,3,3,6,0,5,1,0,,,0.4,8,3,2,39,2,1,1,1,2,2,0,1,,0,,,,,,,242,0,47
