Date,Round,Match,Score,Venue,Opponent,Result,Avg Rating,Passes,Acc. Passes,Long Balls,Acc. Long Balls,Assists,Own Half Passes,Acc. Own Half Passes,Opp Half Passes,Acc. Opp Half Passes,Crosses,Acc. Crosses,Key Passes,Aerial Duels Lost,Aerial Duels Won,Duels Lost,Duels Won,Challenges Lost,Contests,Contests Won,Shots,Shots on Target,Shots off Target,Shots Blocked,Goals,Hit Woodwork,Big Chances Missed,xG,Clearances,Blocked Shots,Interceptions,Ball Recoveries,Tackles,Tackles Won,Errors → Shot,Dispossessed,Fouls Drawn,Fouls Committed,Offsides,Pen. Conceded,Pen. Won,Own Goals,Crosses Not Claimed,High Claims,Saves (Box),Saves,Sweeper Actions,Acc. Sweeper Actions,Touches,Unsuccessful Touches,Possession Lost
2025-08-11,1,Arema FC vs PSBS Biak,4 - 1,Home,PSBS,W,6.54,188,163,14,9,0,106,96,76,64,2,1,2,7,7,25,13,3,3,1,2,0,2,,0,,1,0.4,10,1,4,31,3,1,1,1,0,4,1,1,,0,,,,,,,225,2,26
2025-08-16,2,Arema FC vs PSIM Yogyakarta,1 - 1,Away,PSIM,D,6.6,126,88,34,17,0,74,67,40,16,5,0,,4,3,29,18,7,2,2,2,0,,2,0,,,0.07,4,4,5,36,0,0,0,,6,6,0,,1,1,,,,,,,160,0,44
2025-08-22,3,Arema FC vs Bhayangkara Presisi FC,2 - 1,Home,Bhayangkara ,W,6.64,177,149,19,9,0,102,91,69,55,6,2,,4,10,23,18,3,2,1,0,0,,,0,,,0,8,0,5,40,1,1,0,1,3,4,1,,,0,,,,,,,207,0,26
2025-08-30,4,Arema FC vs Persijap Jepara,0 - 0,Away,Persijap,D,7.24,140,114,21,11,0,68,62,65,46,4,2,1,6,10,27,24,2,4,4,2,0,1,1,0,,,0.11,16,4,10,41,3,2,0,,4,4,1,,,0,,,,,,,183,1,31
2025-09-13,5,Arema FC vs Dewa United FC,1 - 2,Home,Dewa Utd,L,6.42,167,127,24,6,0,81,68,76,51,6,1,,2,1,17,10,2,1,0,0,0,,,0,,,0,5,3,9,33,1,0,3,,2,3,0,,,0,,,,,,,196,0,41
2025-09-22,6,Arema FC vs Persib Bandung,1 - 2,Home,Persib,L,6.58,118,89,20,10,0,55,46,52,37,1,0,,7,3,33,10,4,3,2,1,0,1,,0,,,0.01,15,3,9,27,1,0,1,,2,5,0,,,0,,,,,,,158,3,32
2025-09-28,7,Arema FC vs Persis Solo,2 - 2,Away,Persis,D,6.64,173,145,28,15,1,92,83,75,57,7,5,2,4,4,23,15,2,1,1,3,1,1,1,0,,,0.14,2,3,5,40,2,2,2,,3,7,1,,,0,,,,,,,222,1,33
2025-12-30,8,Arema FC vs Persita Tangerang,0 - 1,Home,Persita,L,6.975,161,137,25,19,0,91,83,65,49,9,3,1,11,6,29,12,2,1,1,2,1,1,,0,,,0.04,6,2,8,33,2,0,2,,3,3,1,,,0,,,,,,,205,1,37
2025-10-19,9,Arema FC vs PSM Makassar,2 - 1,Away,PSM,W,7.28,153,123,18,11,2,75,68,68,49,11,7,4,3,3,43,11,12,1,1,1,0,1,,0,,1,0.33,26,5,9,31,3,1,1,,2,3,0,,,0,,,,,,,210,2,43
2025-10-26,10,Arema FC vs Borneo FC Samarinda,1 - 3,Home,Borneo,L,6.28,106,92,17,12,0,53,48,48,40,3,0,1,3,4,19,13,5,1,1,0,0,,,0,,,0,8,0,5,27,3,0,1,1,5,5,0,,1,0,,,,,,,140,1,20
2025-11-03,11,Arema FC vs Semen Padang FC,2 - 1,Away,Semen Padang,W,6.45,135,109,20,13,0,79,73,46,30,1,0,,10,9,38,20,2,0,0,0,0,,,0,,,0,5,1,9,41,1,1,4,,1,4,0,1,,0,,,,,,,173,1,35
