Date,Round,Match,Score,Venue,Opponent,Result,Avg Rating,Passes,Acc. Passes,Long Balls,Acc. Long Balls,Assists,Own Half Passes,Acc. Own Half Passes,Opp Half Passes,Acc. Opp Half Passes,Crosses,Acc. Crosses,Key Passes,Aerial Duels Lost,Aerial Duels Won,Duels Lost,Duels Won,Challenges Lost,Contests,Contests Won,Shots,Shots on Target,Shots off Target,Shots Blocked,Goals,Hit Woodwork,Big Chances Missed,xG,Clearances,Blocked Shots,Interceptions,Ball Recoveries,Tackles,Tackles Won,Errors → Shot,Dispossessed,Fouls Drawn,Fouls Committed,Offsides,Pen. Conceded,Pen. Won,Own Goals,Crosses Not Claimed,High Claims,Saves (Box),Saves,Sweeper Actions,Acc. Sweeper Actions,Touches,Unsuccessful Touches,Possession Lost
2025-08-10,1,Bali United FC vs Persik Kediri,1 - 1,Home,Persik,D,7.06,187,164,20,11,0,111,106,65,53,2,1,3,7,13,32,31,1,3,3,7,1,5,1,0,,,0.56,17,1,7,49,4,2,0,2,4,4,1,,,0,,,,,,,264,0,35
2025-08-15,2,Bali United FC vs Malut United FC,3 - 3,Away,Malut Utd,D,6.4,228,194,20,10,0,91,84,116,95,2,0,2,6,7,29,10,6,0,0,4,0,2,2,0,,,0.29,13,0,16,42,3,1,0,1,1,4,0,,,1,,,,,,,279,1,38
2025-08-23,3,Bali United FC vs Persebaya Surabaya,2 - 5,Away,Persebaya,L,6.06,219,202,17,11,0,118,113,95,84,0,0,2,3,5,26,14,3,3,2,0,0,,,0,,,0,4,0,7,42,1,0,0,2,4,5,0,1,,0,,,,,,,272,0,25
2025-08-30,4,Bali United FC vs Madura United FC,1 - 0,Home,Madura Utd,W,7.275,143,114,29,13,0,71,58,63,50,4,0,1,6,7,26,25,2,3,3,3,0,2,1,0,,,0.4,10,2,12,43,2,0,1,,5,4,0,,,0,,,,,,,187,0,32
2025-09-14,5,Bali United FC vs Persija Jakarta,1 - 1,Away,Persija,D,6.54,90,70,15,7,0,47,38,31,25,0,0,,9,7,30,19,8,1,1,0,0,,,0,,,0,6,1,7,32,3,2,1,3,4,5,0,,,0,,,,,,,120,2,36
2025-09-20,6,Bali United FC vs PSIM Yogyakarta,1 - 3,Home,PSIM,L,6.683333333333334,216,185,32,18,0,127,116,78,60,4,2,1,3,8,29,22,3,3,3,2,1,1,,0,,1,0.41,14,0,14,55,2,2,1,1,6,6,0,,,0,,,,,,,277,2,39
2025-09-26,7,Bali United FC vs Semen Padang FC,3 - 1,Away,Semen Padang,W,7.1,154,130,15,7,0,97,91,48,34,2,2,5,4,10,31,23,7,2,2,3,1,2,,1,,,0.65,24,2,12,47,2,1,2,,7,4,0,,,0,,,,,,,214,0,33
2025-12-29,8,Bali United FC vs Dewa United FC,0 - 0,Home,Dewa Utd,D,6.9,146,121,21,7,0,83,79,54,35,2,0,,4,3,25,6,5,1,1,1,1,,,0,,,0.08,7,5,6,24,2,0,0,,0,4,0,,,0,,,,,,,208,3,30
2025-10-19,9,Bali United FC vs Persijap Jepara,2 - 1,Away,Persijap,W,6.56,126,106,17,11,0,77,68,46,36,0,0,,4,6,37,13,8,0,0,2,0,2,,0,,,0.13,22,2,2,27,0,0,1,1,3,3,0,,,0,,,,,,,173,5,30
2025-10-25,10,Bali United FC vs Persita Tangerang,0 - 0,Home,Persita,D,7.04,234,212,20,13,0,123,114,109,96,6,4,2,6,13,23,23,6,1,1,1,1,,,0,,,0.05,14,1,3,31,2,2,3,,2,1,0,,,0,,,,,,,283,1,30
2025-11-01,11,Bali United FC vs Persib Bandung,0 - 1,Home,Persib,L,6.66,90,68,19,8,0,52,45,35,21,4,1,,7,6,32,16,5,6,6,2,1,,1,0,,,0.19,14,4,4,25,3,0,1,1,2,7,3,,,0,,,,,,,147,1,33
2025-11-07,12,Bali United FC vs Bhayangkara Presisi FC,1 - 2,Away,Bhayangkara ,L,6.916666666666667,249,209,27,13,0,126,120,121,88,8,1,3,4,7,32,32,7,11,10,2,1,1,,1,,,0.1,16,0,1,39,1,1,1,3,8,2,0,,,0,,,,,,,330,1,54
2025-11-23,13,Bali United FC vs Persis Solo,0 - 0,Home,Persis,D,7,179,151,26,12,0,89,80,83,65,4,1,3,3,5,25,11,9,3,2,3,0,2,1,0,,,0.08,4,3,8,38,0,0,2,1,1,10,2,,,0,,,,,,,240,2,38
2025-11-30,14,Bali United FC vs Borneo FC Samarinda,1 - 0,Away,Borneo,W,6.8,112,95,21,14,0,66,63,38,28,2,0,,3,3,47,12,13,1,0,2,0,1,1,0,,,0.02,26,4,8,34,6,4,2,1,0,7,0,,,0,,,,,,,162,1,37
2025-12-22,15,Bali United FC vs PSBS Biak,3 - 0,Away,PSBS,W,6.95,197,178,16,6,1,104,99,90,77,2,1,3,5,3,23,12,5,1,1,2,0,1,1,0,1,,0.04,4,0,5,33,1,0,0,,1,4,1,,,0,,,,,,,237,1,21
2026-01-04,16,Bali United FC vs Arema FC,1 - 0,Home,Arema,W,7.425,136,118,18,11,1,70,68,58,45,4,2,2,1,5,19,17,4,4,4,2,1,1,,0,,,0.22,4,3,8,27,3,3,0,1,6,4,0,,,0,,,,,,,181,1,21
2026-01-09,17,Bali United FC vs PSM Makassar,2 - 0,Away,PSM,W,7.15,161,140,17,8,0,101,96,55,42,0,0,,9,10,31,17,4,3,3,1,0,1,,0,,,0,21,2,4,29,0,0,0,,2,6,1,,,0,,,,,,,210,0,34
2026-01-24,18,Bali United FC vs Semen Padang FC,3 - 3,Home,Semen Padang,D,6.58,265,231,19,9,0,142,136,114,91,3,2,3,6,8,32,17,7,1,1,2,0,2,,0,,,0.06,6,4,5,41,5,2,0,1,5,5,0,,,0,,,,,,,338,1,40
2026-01-30,19,Bali United FC vs Persik Kediri,2 - 3,Away,Persik,L,6.55,140,111,19,6,0,65,52,62,49,1,0,2,6,6,31,15,3,2,0,4,2,2,,1,,,0.32,4,1,7,30,0,0,0,1,4,3,0,,,0,,,,,,,193,0,43
2026-02-07,20,Bali United FC vs Persebaya Surabaya,1 - 3,Home,Persebaya,L,6.9,202,165,29,16,0,89,75,104,82,8,2,1,14,13,34,25,5,4,3,3,0,3,,0,,,0.18,22,3,11,53,1,0,1,,3,3,0,,,0,,,,,,,286,5,59
2026-02-15,21,Bali United FC vs Persija Jakarta,0 - 1,Home,Persija,L,6.7,172,146,25,12,0,93,89,67,51,4,3,2,7,2,33,7,3,0,0,2,0,1,1,0,,,0.1,7,2,7,24,0,0,1,,2,7,0,,,0,,,,,,,206,1,24
2026-02-23,22,Bali United FC vs PSIM Yogyakarta,3 - 3,Away,PSIM,D,6.64,122,78,34,14,2,46,36,55,31,5,1,1,8,4,40,23,7,8,7,2,1,1,,1,,,0.24,6,3,13,39,7,4,3,,2,2,0,,,1,,,,,,,167,1,48
2026-02-28,23,Bali United FC vs Persijap Jepara,0 - 0,Home,Persijap,D,7.125,102,79,25,12,0,53,45,47,33,2,1,,5,6,22,18,4,4,3,0,0,,,0,,,0,13,1,5,25,3,3,0,,7,7,0,,,0,,,,,,,145,0,27
2026-03-06,24,Bali United FC vs Arema FC,4 - 3,Away,Arema,W,6.371428571428571,102,62,25,9,0,44,34,46,22,4,2,2,6,6,37,27,8,5,4,2,0,1,1,0,,,0.23,13,3,9,35,2,2,0,,3,5,0,1,,1,,,,,,,153,2,53
2026-03-12,25,Bali United FC vs Persis Solo,0 - 3,Away,Persis,L,6.875,141,112,23,12,0,44,41,91,66,17,5,4,7,10,27,28,4,6,6,4,0,3,1,0,1,,0.25,13,0,8,40,1,1,0,,5,4,0,,,0,,,,,,,201,0,33
2026-04-06,26,Bali United FC vs PSBS Biak,6 - 1,Home,PSBS,W,7.3,222,194,17,9,0,106,102,104,86,9,3,5,3,3,32,22,5,10,5,4,2,,2,2,,,0.52,8,0,8,43,4,4,0,1,1,8,0,1,,0,,,,,,,279,3,30
2026-04-12,27,Bali United FC vs Persib Bandung,2 - 3,Away,Persib,L,6.52,192,171,19,9,0,113,108,72,58,6,2,,8,3,33,14,4,3,2,3,1,2,,0,1,,0.28,7,4,7,26,2,2,2,1,1,1,0,,,0,,,,,,,242,2,29
2026-04-19,28,Bali United FC vs Malut United FC,4 - 1,Home,Malut Utd,W,7.08,183,150,20,9,0,119,107,59,40,5,2,1,3,8,26,19,7,7,6,3,3,,,2,,1,0.86,15,3,6,34,3,1,3,,2,4,0,,,0,,,,,,,233,0,48
2026-04-23,29,Bali United FC vs Persita Tangerang,1 - 0,Away,Persita,W,7.06,165,143,19,9,0,93,88,69,53,4,3,3,5,5,28,22,2,5,4,2,0,1,1,0,,,0.01,16,0,9,42,1,0,2,1,6,3,0,,,0,,,,,,,231,1,36
2026-04-27,30,Bali United FC vs PSM Makassar,2 - 0,Home,PSM,W,7.55,278,260,15,13,0,81,79,194,179,8,3,3,11,4,28,18,3,6,6,2,1,1,,0,,,0.15,7,3,2,28,4,2,0,,0,7,0,,,0,,,,,,,318,0,23
2026-05-05,31,Bali United FC vs Madura United FC,0 - 2,Away,Madura Utd,L,7.016666666666667,230,191,29,16,0,64,58,152,121,11,5,2,4,11,19,26,3,6,6,3,2,1,,0,,,0.12,7,2,12,44,0,0,0,,1,3,0,1,,0,,,,,,,309,2,45
2026-05-11,32,Bali United FC vs Borneo FC Samarinda,2 - 3,Home,Borneo,L,6.466666666666667,205,181,27,13,0,113,108,84,70,5,2,2,10,4,32,13,7,1,1,3,0,3,,0,,,0.43,8,0,7,26,8,5,0,,1,6,0,1,,0,,,,,,,240,0,28
