Date,Round,Match,Score,Venue,Opponent,Result,Avg Rating,Passes,Acc. Passes,Long Balls,Acc. Long Balls,Assists,Own Half Passes,Acc. Own Half Passes,Opp Half Passes,Acc. Opp Half Passes,Crosses,Acc. Crosses,Key Passes,Aerial Duels Lost,Aerial Duels Won,Duels Lost,Duels Won,Challenges Lost,Contests,Contests Won,Shots,Shots on Target,Shots off Target,Shots Blocked,Goals,Hit Woodwork,Big Chances Missed,xG,Clearances,Blocked Shots,Interceptions,Ball Recoveries,Tackles,Tackles Won,Errors → Shot,Dispossessed,Fouls Drawn,Fouls Committed,Offsides,Pen. Conceded,Pen. Won,Own Goals,Crosses Not Claimed,High Claims,Saves (Box),Saves,Sweeper Actions,Acc. Sweeper Actions,Touches,Unsuccessful Touches,Possession Lost
2025-08-08,1,Bhayangkara Presisi FC vs Borneo FC Samarinda,0 - 1,Away,Borneo,L,6.575,137,103,27,8,0,77,67,55,34,3,0,,7,7,33,20,8,2,2,2,2,,,0,,,0.2,10,1,3,40,2,1,0,,3,2,0,,,0,,,,,,,173,1,46
2025-08-16,2,Bhayangkara Presisi FC vs PSM Makassar,1 - 1,Home,PSM,D,6.875,106,99,17,14,0,66,63,36,33,1,1,,4,12,21,14,4,1,0,3,0,2,1,0,,,0.07,25,1,7,40,1,0,0,,1,6,1,1,,0,,,,,,,139,0,28
2025-08-22,3,Bhayangkara Presisi FC vs Arema FC,1 - 2,Away,Arema,L,6.42,89,62,18,5,0,34,27,48,31,1,0,1,6,4,30,13,3,1,1,1,1,,,0,,,0.05,9,2,7,36,3,2,1,,2,3,0,,,0,,,,,,,118,2,41
2025-08-29,4,Bhayangkara Presisi FC vs Persis Solo,2 - 0,Home,Persis,W,7.06,79,48,27,13,0,35,27,37,18,2,0,2,1,4,26,16,1,1,1,2,0,1,1,0,,,0.32,7,5,6,34,3,3,0,1,1,7,0,,,0,,,,,,,114,0,39
2025-09-12,5,Bhayangkara Presisi FC vs Madura United FC,0 - 0,Away,Madura Utd,D,6.716666666666667,103,71,18,5,0,54,40,43,26,3,1,,6,5,35,12,11,0,0,1,0,,1,0,,,0.01,11,6,7,39,2,2,2,2,3,7,0,,,0,,,,,,,143,1,39
2025-09-19,6,Bhayangkara Presisi FC vs Persik Kediri,1 - 0,Home,Persik,W,6.92,95,62,38,25,0,37,25,57,36,2,1,,8,5,32,22,4,1,1,0,0,,,0,,,0,14,5,7,68,1,0,4,5,2,8,0,,,0,,,,,,,125,0,51
2025-09-25,7,Bhayangkara Presisi FC vs Malut United FC,0 - 1,Home,Malut Utd,L,6.84,193,166,30,18,0,90,84,97,77,4,1,3,7,3,25,14,5,3,2,4,0,1,3,0,1,1,0.85,8,0,7,48,0,0,0,,1,4,0,,,0,,,,,,,246,2,38
2025-12-29,8,Bhayangkara Presisi FC vs Persija Jakarta,0 - 3,Away,Persija,L,6.525,106,85,20,9,0,68,58,36,25,7,4,2,2,2,22,13,5,2,1,3,0,2,1,0,,,0.01,9,3,4,29,4,3,1,1,3,3,0,,,1,,,,,,,136,1,28
2025-10-20,9,Bhayangkara Presisi FC vs Semen Padang FC,1 - 0,Away,Semen Padang,W,7,124,93,28,12,0,46,42,53,35,3,2,,5,6,30,12,0,1,1,1,0,,1,0,,,0.01,11,1,17,43,1,1,1,,1,5,0,,,0,,,,,,,164,0,45
2025-10-27,10,Bhayangkara Presisi FC vs Persijap Jepara,2 - 0,Home,Persijap,W,6.92,107,79,32,20,0,46,38,55,36,1,0,,2,6,28,21,6,3,2,0,0,,,0,,,0,16,0,7,43,0,0,1,1,2,4,0,,,0,,,,,,,147,2,41
