Date,Round,Match,Score,Venue,Opponent,Result,Avg Rating,Passes,Acc. Passes,Long Balls,Acc. Long Balls,Assists,Own Half Passes,Acc. Own Half Passes,Opp Half Passes,Acc. Opp Half Passes,Crosses,Acc. Crosses,Key Passes,Aerial Duels Lost,Aerial Duels Won,Duels Lost,Duels Won,Challenges Lost,Contests,Contests Won,Shots,Shots on Target,Shots off Target,Shots Blocked,Goals,Hit Woodwork,Big Chances Missed,xG,Clearances,Blocked Shots,Interceptions,Ball Recoveries,Tackles,Tackles Won,Errors → Shot,Dispossessed,Fouls Drawn,Fouls Committed,Offsides,Pen. Conceded,Pen. Won,Own Goals,Crosses Not Claimed,High Claims,Saves (Box),Saves,Sweeper Actions,Acc. Sweeper Actions,Touches,Unsuccessful Touches,Possession Lost
2025-08-09,1,Dewa United FC vs Malut United FC,1 - 3,Home,Malut Utd,L,6.625,226,209,10,3,0,90,86,127,115,5,2,1,2,11,31,19,7,4,4,3,0,3,,0,,,0.48,11,2,11,42,0,0,1,,1,7,0,1,,0,,,,,,,275,0,24
2025-08-15,2,Dewa United FC vs Semen Padang FC,0 - 2,Away,Semen Padang,L,6.66,197,174,20,6,0,121,113,71,56,1,1,2,6,7,32,21,3,2,1,3,0,2,1,0,,,0.05,9,4,9,31,2,2,2,,5,3,0,,,0,,,,,,,256,0,26
2025-08-22,3,Dewa United FC vs Persik Kediri,3 - 1,Home,Persik,W,6.7,177,160,11,5,0,97,90,75,66,4,1,2,5,5,33,17,6,3,2,0,0,,,0,,,0,9,3,6,41,5,4,2,2,2,4,0,,,0,,,,,,,218,4,28
2025-08-29,4,Dewa United FC vs Persija Jakarta,1 - 3,Home,Persija,L,6.46,191,169,25,18,0,119,110,67,57,7,2,1,3,5,36,14,6,2,1,3,1,1,1,0,,,0.04,9,1,3,32,6,4,0,,3,4,0,,,0,,,,,,,246,2,32
2025-09-13,5,Dewa United FC vs Arema FC,2 - 1,Away,Arema,W,6.716666666666667,181,156,18,7,0,111,100,62,51,2,0,,6,7,33,18,4,1,1,2,0,2,,0,,,0.15,25,2,9,42,2,1,1,2,2,2,0,,,0,,,,,,,226,1,38
2025-09-20,6,Dewa United FC vs PSBS Biak,3 - 1,Home,PSBS,W,6.633333333333333,244,224,12,4,0,134,129,105,92,5,1,,10,3,52,15,4,1,1,0,0,,,0,,,0,12,3,8,36,3,2,2,,3,7,0,,,0,,,,,,,302,2,23
2025-09-26,7,Dewa United FC vs Persebaya Surabaya,1 - 1,Home,Persebaya,D,7.04,315,289,19,13,1,125,119,185,165,9,3,4,5,11,28,23,7,1,1,3,0,2,1,0,,,0.18,6,0,7,56,1,1,0,1,5,4,0,,,0,,,,,,,354,1,32
2025-12-29,8,Dewa United FC vs Bali United FC,0 - 0,Away,Bali Utd,D,6.65,143,118,15,3,0,79,71,59,46,3,0,,2,4,24,17,5,4,2,2,0,1,1,0,,,0.02,9,2,5,30,1,0,4,,2,4,0,,,0,,,,,,,202,3,34
2025-10-16,9,Dewa United FC vs Madura United FC,0 - 2,Home,Madura Utd,L,6.65,254,232,20,14,0,108,99,143,131,10,4,3,9,5,25,11,1,2,0,2,0,1,1,0,,,0.19,8,1,6,42,1,1,1,1,0,4,0,,,0,,,,,,,315,3,19
2025-10-22,10,Dewa United FC vs PSIM Yogyakarta,0 - 2,Away,PSIM,L,6.428571428571429,153,126,16,11,0,76,74,71,49,11,5,1,1,8,35,19,10,3,3,2,1,1,,0,,,0.05,4,3,5,35,1,0,1,3,1,8,0,,,0,,,,,,,193,1,33
