Date,Round,Match,Score,Venue,Opponent,Result,Avg Rating,Passes,Acc. Passes,Long Balls,Acc. Long Balls,Assists,Own Half Passes,Acc. Own Half Passes,Opp Half Passes,Acc. Opp Half Passes,Crosses,Acc. Crosses,Key Passes,Aerial Duels Lost,Aerial Duels Won,Duels Lost,Duels Won,Challenges Lost,Contests,Contests Won,Shots,Shots on Target,Shots off Target,Shots Blocked,Goals,Hit Woodwork,Big Chances Missed,xG,Clearances,Blocked Shots,Interceptions,Ball Recoveries,Tackles,Tackles Won,Errors → Shot,Dispossessed,Fouls Drawn,Fouls Committed,Offsides,Pen. Conceded,Pen. Won,Own Goals,Crosses Not Claimed,High Claims,Saves (Box),Saves,Sweeper Actions,Acc. Sweeper Actions,Touches,Unsuccessful Touches,Possession Lost
2025-08-09,1,Malut United FC vs Dewa United FC,3 - 1,Away,Dewa Utd,W,6.9,89,70,20,9,0,45,42,34,21,3,1,1,4,1,26,9,6,4,3,2,1,,1,0,,1,0.3,20,8,14,30,0,0,0,,1,3,0,,,0,,,,,,,136,3,29
2025-08-15,2,Malut United FC vs Bali United FC,3 - 3,Home,Bali Utd,D,6.48,146,116,23,10,0,95,84,45,29,6,1,1,4,2,28,17,7,7,5,1,0,1,,0,,,0,10,4,6,28,0,0,0,,6,5,0,1,,0,,,,,,,186,3,42
2025-08-23,3,Malut United FC vs Persija Jakarta,1 - 1,Away,Persija,D,7,90,62,15,3,0,46,41,30,13,3,2,2,1,4,11,9,1,3,2,3,1,1,1,1,,,0.22,10,2,10,14,0,0,1,,4,2,2,,,0,,,,,,,130,0,32
2025-08-30,4,Malut United FC vs PSIM Yogyakarta,0 - 2,Home,PSIM,L,6.566666666666666,158,130,27,16,0,82,77,71,49,8,4,2,2,7,26,16,2,1,1,4,1,3,,0,,,0.13,7,2,6,23,0,0,3,1,1,11,1,,,0,,,,,,,205,0,35
2025-09-12,5,Malut United FC vs Persik Kediri,1 - 2,Away,Persik,L,6.925,200,158,37,21,1,109,99,88,58,9,1,2,7,11,28,30,2,6,4,3,1,1,1,1,,,0.14,13,1,2,43,2,2,2,,3,3,0,,,0,,,,,,,249,1,45
2025-09-19,6,Malut United FC vs Madura United FC,4 - 1,Home,Madura Utd,W,7.14,196,166,18,10,0,94,88,92,71,14,8,8,5,8,18,22,0,5,4,5,1,2,2,0,,,0.17,6,1,9,45,0,0,1,,2,3,1,,,0,,,,,,,244,0,32
2025-09-25,7,Malut United FC vs Bhayangkara Presisi FC,1 - 0,Away,Bhayangkara ,W,6.88,99,65,27,6,0,52,42,36,15,2,0,,8,3,37,14,5,3,3,1,0,,1,0,,,0,16,1,17,41,2,2,0,1,1,2,0,,,0,,,,,,,143,3,46
2025-12-28,8,Malut United FC vs Borneo FC Samarinda,3 - 2,Home,Borneo,W,6.98,179,162,15,9,1,92,87,84,72,12,9,8,7,6,30,12,9,4,3,8,2,4,2,1,,,0.55,10,1,5,25,2,1,0,,0,5,0,,,0,,,,,,,226,1,24
2025-10-20,9,Malut United FC vs Persis Solo,3 - 1,Away,Persis,W,6.86,144,114,25,12,0,79,72,52,35,4,1,1,5,7,22,15,5,4,4,2,1,,1,0,,,0.1,9,1,10,30,3,2,0,1,0,3,1,,,0,,,,,,,182,0,38
2025-10-26,10,Malut United FC vs Semen Padang FC,1 - 0,Home,Semen Padang,W,7.3,213,194,13,9,0,100,98,110,93,10,5,4,6,7,24,16,0,5,4,4,2,2,,0,,,0.26,12,1,2,24,2,0,0,2,1,8,1,,,0,,,,,,,281,2,39
2025-11-03,11,Malut United FC vs Persijap Jepara,2 - 1,Away,Persijap,W,6.78,172,151,21,13,0,69,65,99,82,10,4,4,2,6,34,15,11,4,3,5,1,1,3,1,,,0.21,13,2,7,30,1,1,2,3,2,2,0,1,,0,,,,,,,231,2,31
2025-12-14,12,Malut United FC vs Persib Bandung,2 - 0,Home,Persib,W,7.42,115,103,19,11,0,59,56,51,43,5,4,5,4,6,22,14,2,1,1,4,2,2,,1,,,0.38,12,2,8,36,2,2,2,,4,4,1,,,0,,,,,,,162,0,33
2025-11-23,13,Malut United FC vs Persita Tangerang,0 - 0,Away,Persita,D,7.125,197,165,29,14,0,124,114,71,49,7,4,1,1,11,19,25,5,7,6,2,2,,,0,,,0.12,12,1,6,31,1,1,3,,0,5,0,,,0,,,,,,,233,0,42
2025-11-29,14,Malut United FC vs Arema FC,1 - 1,Home,Arema,D,7.275,198,168,21,10,0,101,93,89,70,12,6,6,3,7,15,21,0,7,6,4,1,1,2,0,,,0.13,10,1,9,34,2,2,1,1,2,3,0,,,0,,,,,,,243,1,37
2025-12-21,15,Malut United FC vs PSM Makassar,1 - 0,Away,PSM,W,7,89,76,23,16,0,52,46,34,27,2,1,,11,4,38,15,3,3,1,1,0,1,,0,,,0.15,11,2,7,33,2,1,0,,2,7,0,,,0,,,,,,,126,1,28
2026-01-04,16,Malut United FC vs PSBS Biak,6 - 2,Home,PSBS,W,6.55,123,105,21,13,1,58,53,62,51,3,1,4,3,3,33,15,4,4,2,4,2,,2,1,,,0.26,6,0,2,19,1,1,0,3,0,6,0,,,0,,,,,,,167,0,25
2026-01-10,17,Malut United FC vs Persebaya Surabaya,1 - 2,Away,Persebaya,L,7.15,263,227,40,27,0,121,115,133,106,12,5,5,5,17,30,30,2,5,3,10,2,3,5,0,,1,0.74,9,0,9,51,2,0,0,1,5,6,0,,,0,,,,,,,356,1,42
2026-01-24,18,Malut United FC vs Persik Kediri,4 - 0,Home,Persik,W,7.32,195,174,24,14,1,85,76,104,94,11,6,6,5,4,21,14,2,4,2,3,0,2,1,0,,,0.2,16,3,10,35,0,0,1,,3,4,0,,,0,,,,,,,245,3,26
2026-01-31,19,Malut United FC vs Bhayangkara Presisi FC,1 - 2,Home,Bhayangkara ,L,6.72,194,162,23,16,0,107,98,83,61,8,2,3,6,11,37,22,6,4,3,2,0,1,1,0,,,0.09,11,4,4,42,0,0,1,,3,4,0,,,0,,,,,,,263,0,40
2026-02-06,20,Malut United FC vs Persib Bandung,0 - 2,Away,Persib,L,6.7,74,58,18,8,0,42,40,32,18,1,0,1,8,2,19,10,1,2,2,1,0,,1,0,,,0,9,3,6,16,2,0,0,,5,1,1,,,0,,,,,,,118,3,25
2026-02-13,21,Malut United FC vs Persijap Jepara,4 - 0,Home,Persijap,W,7.375,233,203,25,17,0,110,108,113,87,13,3,2,6,3,31,11,3,5,2,2,1,,1,1,,,0.05,5,0,10,35,1,1,1,,3,4,0,,,0,,,,,,,284,0,38
2026-02-20,22,Malut United FC vs Semen Padang FC,2 - 2,Away,Semen Padang,D,6.76,163,140,18,8,1,100,96,59,41,6,1,3,4,12,26,18,8,5,3,3,1,2,,1,1,,0.57,10,4,13,41,0,0,3,2,3,2,1,,,0,,,,,,,220,2,34
2026-02-24,23,Malut United FC vs Persija Jakarta,2 - 3,Home,Persija,L,6.68,182,153,19,12,1,94,88,82,60,10,2,2,9,4,32,20,3,6,6,5,0,4,1,0,,,0.16,10,4,8,36,2,1,2,,4,8,1,,,0,,,,,,,239,2,48
2026-03-03,24,Malut United FC vs Madura United FC,2 - 1,Away,Madura Utd,W,,,,,,0,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,
2026-03-07,25,Malut United FC vs PSM Makassar,3 - 3,Home,PSM,D,,,,,,0,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,1,,,,,,,,,
2026-04-03,26,Malut United FC vs Arema FC,1 - 1,Away,Arema,D,7.34,227,194,24,13,0,107,103,116,88,13,5,7,1,12,19,26,4,7,5,4,1,,3,0,,,0.15,14,5,9,38,1,0,0,,2,3,0,,1,1,,,,,,,297,0,43
2026-04-12,27,Malut United FC vs Dewa United FC,1 - 2,Home,Dewa Utd,L,6.975,181,159,16,9,0,105,99,71,56,9,2,4,3,5,27,22,6,3,3,4,1,1,2,0,,,0.27,18,1,11,34,1,0,1,,4,3,0,,,0,,,,,,,234,2,30
2026-04-19,28,Malut United FC vs Bali United FC,1 - 4,Away,Bali Utd,L,6.02,147,121,23,14,0,58,49,83,67,7,3,,6,4,34,9,9,2,2,1,1,,,0,,,0.09,7,1,6,34,1,0,4,1,0,6,0,1,,0,,,,,,,182,2,32
2026-04-23,29,Malut United FC vs Persebaya Surabaya,0 - 2,Home,Persebaya,L,6.84,174,149,24,17,0,104,97,65,48,12,5,3,7,10,26,27,7,9,9,3,1,1,1,0,,,0.08,10,1,8,34,0,0,1,,7,4,0,,,0,,,,,,,228,0,31
2026-04-28,30,Malut United FC vs PSBS Biak,7 - 0,Away,PSBS,W,7.033333333333333,193,167,8,5,0,70,66,117,96,10,4,2,4,1,31,9,9,6,5,4,1,3,,0,1,,0.13,11,2,10,46,0,0,0,,3,4,0,,,0,,,,,,,254,2,33
2026-05-02,31,Malut United FC vs Persis Solo,5 - 2,Home,Persis,W,6.425,52,36,16,8,0,28,23,9,3,0,0,1,5,5,17,13,3,0,0,1,1,,,1,,,0.19,3,4,10,31,1,0,1,1,1,3,0,,,0,,,,,,,65,0,19
2026-05-10,32,Malut United FC vs PSIM Yogyakarta,0 - 2,Away,PSIM,L,6.64,111,89,27,17,0,62,54,44,30,0,0,1,1,4,28,20,7,2,2,0,0,,,0,,,0,18,1,13,43,0,0,0,2,3,4,0,,,0,,,,,,,152,2,29
