Date,Round,Match,Score,Venue,Opponent,Result,Avg Rating,Passes,Acc. Passes,Long Balls,Acc. Long Balls,Assists,Own Half Passes,Acc. Own Half Passes,Opp Half Passes,Acc. Opp Half Passes,Crosses,Acc. Crosses,Key Passes,Aerial Duels Lost,Aerial Duels Won,Duels Lost,Duels Won,Challenges Lost,Contests,Contests Won,Shots,Shots on Target,Shots off Target,Shots Blocked,Goals,Hit Woodwork,Big Chances Missed,xG,Clearances,Blocked Shots,Interceptions,Ball Recoveries,Tackles,Tackles Won,Errors → Shot,Dispossessed,Fouls Drawn,Fouls Committed,Offsides,Pen. Conceded,Pen. Won,Own Goals,Crosses Not Claimed,High Claims,Saves (Box),Saves,Sweeper Actions,Acc. Sweeper Actions,Touches,Unsuccessful Touches,Possession Lost
2025-08-09,1,Persib Bandung vs Semen Padang FC,2 - 0,Home,Semen Padang,W,7.15,111,97,19,10,0,59,57,44,33,2,0,,5,11,25,16,5,1,0,6,0,4,2,0,,,0.3,8,2,8,30,1,1,0,,3,4,1,,,0,,,,,,,145,0,25
2025-08-18,2,Persib Bandung vs Persijap Jepara,1 - 2,Away,Persijap,L,6.54,157,136,19,9,0,97,89,56,44,1,0,1,8,24,29,32,2,1,1,0,0,,,0,,,0,4,2,3,51,2,0,1,3,4,5,1,,,0,,,,,,,202,2,40
2025-08-24,3,Persib Bandung vs PSIM Yogyakarta,1 - 1,Away,PSIM,D,6.88,110,92,23,13,0,62,56,41,31,3,3,1,10,8,29,18,2,3,3,4,3,1,,1,,,0.31,10,2,5,28,0,0,0,,3,8,0,1,1,0,,,,,,,146,1,37
2025-12-05,4,Persib Bandung vs Borneo FC Samarinda,3 - 1,Home,Borneo,W,6.933333333333334,147,131,20,14,1,44,36,96,88,6,5,6,3,3,39,8,9,1,1,3,2,,1,1,,,0.51,6,2,9,40,5,3,2,,0,3,0,,,0,,,,,,,180,0,29
2025-09-12,5,Persib Bandung vs Persebaya Surabaya,1 - 0,Home,Persebaya,W,7,132,108,11,4,0,67,61,57,41,6,2,1,5,8,25,17,4,2,1,5,1,3,1,0,,,0.28,20,3,9,37,2,2,0,,2,6,0,,,0,,,,,,,170,1,28
2025-09-22,6,Persib Bandung vs Arema FC,2 - 1,Away,Arema,W,6.86,153,123,23,9,0,72,67,79,54,2,0,2,8,9,33,18,1,4,4,3,1,1,1,1,,,0.24,6,2,6,45,1,1,0,2,1,1,1,,,0,,,,,,,195,0,44
2025-09-27,7,Persib Bandung vs Persita Tangerang,? - ?,Away,Persita,D,6.566666666666666,217,200,12,7,0,101,98,112,99,6,1,2,8,4,25,8,3,0,0,1,1,,,0,,,0.02,3,2,4,25,0,0,0,,1,4,0,,,0,,,,,,,258,0,23
2025-12-27,8,Persib Bandung vs PSM Makassar,1 - 0,Home,PSM,W,6.7,118,100,17,8,0,76,71,40,28,3,2,,7,10,24,16,2,1,1,1,1,,,0,,,0.14,9,1,3,25,0,0,2,1,3,8,0,,,0,,,,,,,144,0,32
2025-10-17,9,Persib Bandung vs PSBS Biak,3 - 0,Away,PSBS,W,7,203,187,10,6,0,109,104,89,78,5,3,2,6,3,29,11,1,3,2,2,0,,2,0,,,0.01,10,0,6,22,0,0,0,,4,7,0,,1,0,,,,,,,249,1,26
2025-10-27,10,Persib Bandung vs Persis Solo,2 - 0,Home,Persis,W,6.9,141,119,20,8,0,84,79,51,37,2,2,3,3,3,27,13,2,2,1,1,0,,1,0,,,0.08,12,0,9,33,0,0,1,1,2,4,1,,,0,,,,,,,191,0,34
2025-11-01,11,Persib Bandung vs Bali United FC,1 - 0,Away,Bali Utd,W,7.08,165,144,9,5,0,77,74,81,65,5,1,2,3,8,24,21,3,3,2,4,0,2,2,0,,,0.73,11,0,10,41,3,2,0,,2,4,0,,,0,,,,,,,211,2,26
2025-12-14,12,Persib Bandung vs Malut United FC,0 - 2,Away,Malut Utd,L,6.54,166,135,16,10,0,80,70,82,62,11,2,1,13,9,41,24,7,4,3,1,0,1,,0,,,0.02,16,2,6,36,0,0,0,1,4,6,0,1,,0,,,,,,,230,1,39
2025-11-21,13,Persib Bandung vs Dewa United FC,1 - 0,Home,Dewa Utd,W,6.98,145,132,14,10,0,84,81,53,45,3,0,,3,6,23,7,4,0,0,2,2,,,0,,,0.36,14,1,10,30,2,1,0,2,0,7,0,,,0,,,,,,,186,2,24
2025-11-30,14,Persib Bandung vs Madura United FC,4 - 1,Away,Madura Utd,W,6.9,183,166,17,12,0,106,103,66,54,5,1,3,6,12,27,21,4,2,2,4,1,3,,1,,,0.17,11,1,13,35,1,0,0,,1,8,0,1,,0,,,,,,,220,0,21
2025-12-21,15,Persib Bandung vs Bhayangkara Presisi FC,2 - 0,Home,Bhayangkara ,W,7.02,155,137,19,11,1,99,97,55,39,4,2,3,3,10,16,20,4,0,0,2,1,,1,0,,1,0.55,13,1,1,21,2,1,1,,5,2,0,,,0,,,,,,,196,1,25
2026-01-05,16,Persib Bandung vs Persik Kediri,1 - 1,Away,Persik,D,6.675,92,73,19,9,0,64,58,26,13,1,0,,4,7,17,15,2,0,0,3,1,2,,0,,,0.3,10,1,3,31,0,0,2,,1,3,0,,,0,,,,,,,114,0,30
2026-01-11,17,Persib Bandung vs Persija Jakarta,1 - 0,Home,Persija,W,7,93,71,16,5,0,66,58,23,9,2,0,,3,11,14,16,3,0,0,1,1,,,0,,,0.09,10,1,6,31,1,0,0,,0,5,0,,,0,,,,,,,113,1,26
2026-01-25,18,Persib Bandung vs PSBS Biak,1 - 0,Home,PSBS,W,6.983333333333333,178,156,12,8,0,70,64,106,90,14,4,3,3,8,29,21,0,6,4,3,1,2,,0,,,0.18,8,1,1,37,0,0,0,1,2,1,0,,,0,,,,,,,233,2,32
2026-01-31,19,Persib Bandung vs Persis Solo,1 - 0,Away,Persis,W,7.16,220,192,28,16,1,116,108,101,82,6,2,1,15,14,38,25,4,4,2,4,1,2,1,0,,,0.38,17,3,7,49,0,0,1,2,1,5,0,,,0,,,,,,,300,3,42
2026-02-06,20,Persib Bandung vs Malut United FC,2 - 0,Home,Malut Utd,W,6.88,135,113,17,7,0,84,79,47,30,4,1,2,7,11,17,16,1,0,0,2,0,1,1,0,,,0.15,13,1,5,38,1,1,2,,1,4,1,,,0,,,,,,,165,1,29
2026-03-15,21,Persib Bandung vs Borneo FC Samarinda,1 - 1,Away,Borneo,D,6.72,137,108,28,17,1,77,66,55,37,3,1,3,9,6,27,10,6,1,1,1,0,,1,0,,,0.21,7,2,4,26,0,0,1,,0,4,0,,,0,,,,,,,160,0,39
2026-02-22,22,Persib Bandung vs Persita Tangerang,1 - 0,Home,Persita,W,6.84,210,187,14,7,0,134,124,73,60,4,1,,1,4,21,12,6,2,2,1,1,,,0,,,0.02,8,1,4,26,0,0,1,,1,4,1,,,0,,,,,,,256,0,30
2026-02-26,23,Persib Bandung vs Madura United FC,5 - 0,Home,Madura Utd,W,7.08,249,230,14,9,1,137,131,105,93,4,2,4,7,3,27,9,5,0,0,1,1,,,0,,,0.13,7,1,9,24,1,1,1,,1,4,1,,,0,,,,,,,301,0,25
2026-03-02,24,Persib Bandung vs Persebaya Surabaya,2 - 2,Away,Persebaya,D,6.525,191,162,21,11,0,112,107,72,52,3,0,,8,8,25,16,6,2,2,3,1,1,1,0,,,0.1,5,3,4,31,0,0,0,,2,3,1,1,,0,,,,,,,233,2,36
2026-03-09,25,Persib Bandung vs Persik Kediri,3 - 0,Home,Persik,W,6.82,138,113,19,8,0,83,76,50,33,5,1,1,8,5,32,12,9,1,0,2,0,2,,0,,,0.13,14,2,9,34,0,0,0,1,3,7,0,,,0,,,,,,,179,1,30
2026-04-05,26,Persib Bandung vs Semen Padang FC,2 - 0,Away,Semen Padang,W,6.82,180,167,17,8,0,103,101,69,60,0,0,2,6,9,26,13,6,0,0,2,0,2,,0,,,0.13,5,1,5,24,1,1,1,1,0,5,0,,,0,,,,,,,219,1,23
2026-04-12,27,Persib Bandung vs Bali United FC,3 - 2,Home,Bali Utd,W,6.72,115,104,9,6,1,56,52,50,45,2,2,1,2,5,26,12,7,1,1,4,3,,1,1,,,0.33,6,2,10,28,1,1,0,,2,4,1,,0,0,,,,,,,148,0,15
2026-04-20,28,Persib Bandung vs Dewa United FC,2 - 2,Away,Dewa Utd,D,6.82,175,159,13,11,1,50,48,120,108,5,4,3,5,8,28,17,7,4,4,0,0,,,0,,,0,12,1,4,36,0,0,0,,5,1,1,,,0,,,,,,,219,1,23
2026-04-24,29,Persib Bandung vs Arema FC,0 - 0,Home,Arema,D,7.3,198,174,12,5,0,74,71,115,99,13,6,3,10,13,37,25,7,4,3,2,1,1,,0,,1,0.52,5,1,7,50,2,1,0,,2,4,0,,,0,,,,,,,239,1,28
2026-04-30,30,Persib Bandung vs Bhayangkara Presisi FC,? - ?,Away,Bhayangkara ,D,7,222,191,22,14,1,95,92,113,89,9,4,4,6,3,31,18,5,1,1,2,1,,1,1,,,0.16,10,1,10,44,4,2,0,,2,2,0,,,0,,,,,,,260,0,43
2026-05-04,31,Persib Bandung vs PSIM Yogyakarta,1 - 0,Home,PSIM,W,7.16,126,97,25,13,0,69,59,51,36,1,0,2,1,7,18,11,2,1,1,4,4,,,1,,,0.57,11,0,2,24,0,0,0,,0,8,0,,,0,,,,,,,162,2,36
2026-05-10,32,Persib Bandung vs Persija Jakarta,2 - 1,Away,Persija,W,6.64,92,71,22,15,0,61,45,25,22,0,0,,3,7,36,24,6,0,0,1,1,,,0,,,0.08,15,5,8,36,2,2,4,1,2,4,0,,,0,,,,,,,114,0,33
