Date,Round,Match,Score,Venue,Opponent,Result,Avg Rating,Passes,Acc. Passes,Long Balls,Acc. Long Balls,Assists,Own Half Passes,Acc. Own Half Passes,Opp Half Passes,Acc. Opp Half Passes,Crosses,Acc. Crosses,Key Passes,Aerial Duels Lost,Aerial Duels Won,Duels Lost,Duels Won,Challenges Lost,Contests,Contests Won,Shots,Shots on Target,Shots off Target,Shots Blocked,Goals,Hit Woodwork,Big Chances Missed,xG,Clearances,Blocked Shots,Interceptions,Ball Recoveries,Tackles,Tackles Won,Errors → Shot,Dispossessed,Fouls Drawn,Fouls Committed,Offsides,Pen. Conceded,Pen. Won,Own Goals,Crosses Not Claimed,High Claims,Saves (Box),Saves,Sweeper Actions,Acc. Sweeper Actions,Touches,Unsuccessful Touches,Possession Lost
2025-08-10,1,Persija Jakarta vs Persita Tangerang,4 - 0,Home,Persita,W,7.22,201,179,19,9,0,89,86,103,87,3,2,1,8,7,28,13,2,3,2,2,1,1,,1,,,0.29,5,2,7,38,3,2,0,1,5,5,0,,,0,,,,,,,241,4,41
2025-08-16,2,Persija Jakarta vs Persis Solo,3 - 0,Away,Persis,W,6.883333333333333,147,125,12,6,1,89,85,55,38,7,2,2,0,1,22,18,2,11,7,3,1,1,1,0,,,0.04,12,0,5,27,1,1,1,1,3,2,0,,,0,,,,,,,200,2,42
2025-08-23,3,Persija Jakarta vs Malut United FC,1 - 1,Home,Malut Utd,D,6.54,191,169,11,2,0,73,68,113,99,7,2,2,3,4,23,17,3,1,1,3,1,1,1,0,,,0.07,5,2,3,24,0,0,2,1,4,6,0,,,0,,,,,,,239,0,26
2025-08-29,4,Persija Jakarta vs Dewa United FC,3 - 1,Away,Dewa Utd,W,6.72,125,101,19,9,0,64,57,56,39,5,2,3,5,7,21,17,4,3,3,0,0,,,0,,,0,10,0,10,32,0,0,1,1,4,5,0,,,0,,,,,,,152,1,32
2025-09-14,5,Persija Jakarta vs Bali United FC,1 - 1,Home,Bali Utd,D,6.76,149,125,18,12,1,54,49,88,69,6,1,2,8,3,33,18,0,9,6,1,0,1,,0,,,0,1,0,9,27,0,0,0,2,6,6,0,,,0,,,,,,,201,0,32
2025-09-21,6,Persija Jakarta vs PSM Makassar,0 - 2,Away,PSM,L,6.74,228,201,21,12,0,95,90,126,106,6,3,1,6,7,30,24,2,10,6,0,0,,,0,,,0,8,1,4,39,0,0,0,1,8,2,0,,,0,,,,,,,284,1,41
2025-09-28,7,Persija Jakarta vs Borneo FC Samarinda,1 - 3,Away,Borneo,L,6.466666666666667,176,165,19,13,0,96,92,78,71,1,1,2,2,4,14,7,7,1,0,0,0,,,0,,,0,6,1,2,25,2,1,0,,0,2,1,,,0,,,,,,,196,0,19
2025-12-29,8,Persija Jakarta vs Bhayangkara Presisi FC,3 - 0,Home,Bhayangkara ,W,7.133333333333333,202,182,11,6,0,112,101,89,81,0,0,1,5,11,21,21,3,2,1,2,1,,1,1,,,0.06,12,2,1,23,0,0,3,2,0,4,0,,,0,,,,,,,259,3,27
2025-10-18,9,Persija Jakarta vs Persebaya Surabaya,3 - 1,Away,Persebaya,W,7.0375,111,94,15,10,0,41,37,61,50,6,3,2,4,7,41,27,2,11,9,6,5,1,,2,1,,1.14,12,2,8,32,3,2,0,4,3,7,0,,1,0,,,,,,,166,1,31
2025-10-24,10,Persija Jakarta vs Madura United FC,1 - 0,Away,Madura Utd,W,6.933333333333334,229,215,15,10,0,120,120,106,93,4,3,3,10,7,28,17,3,2,1,2,1,,1,0,,,0.11,5,1,4,31,0,0,0,,2,4,0,,,0,,,,,,,275,1,14
2025-10-31,11,Persija Jakarta vs PSBS Biak,3 - 1,Home,PSBS,W,6.914285714285715,286,259,16,13,0,100,93,178,162,17,5,4,6,10,26,29,4,12,11,2,0,1,1,0,,,0.02,2,0,3,41,1,0,0,,2,5,1,,,0,,,,,,,342,1,23
2025-11-08,12,Persija Jakarta vs Arema FC,2 - 1,Away,Arema,W,6.683333333333334,188,151,30,13,1,71,65,104,78,6,2,2,7,11,38,24,7,8,6,1,0,1,,0,,,0.01,6,2,11,45,1,0,0,1,2,9,0,,,0,,,,,,,240,0,48
2025-11-20,13,Persija Jakarta vs Persik Kediri,3 - 1,Home,Persik,W,7.02,172,136,28,14,1,93,84,74,49,15,5,4,4,13,25,31,2,10,9,4,1,2,1,0,,,0.26,5,0,4,30,2,1,0,1,2,9,0,,,0,,,,,,,224,2,43
2025-11-28,14,Persija Jakarta vs PSIM Yogyakarta,? - ?,Home,PSIM,D,7.3,117,97,24,14,1,59,56,55,40,6,3,4,1,2,12,12,1,2,1,1,0,,1,0,,,0.02,5,1,2,24,1,1,0,1,5,0,0,,,0,,,,,,,155,0,19
2025-12-22,15,Persija Jakarta vs Semen Padang FC,0 - 1,Away,Semen Padang,L,6.957142857142857,212,186,21,15,0,84,77,122,104,10,3,2,2,7,21,23,2,11,10,2,1,,1,0,,,0.07,6,1,7,36,0,0,0,,3,3,0,,,1,,,,,,,276,0,32
2026-01-03,16,Persija Jakarta vs Persijap Jepara,2 - 0,Home,Persijap,W,7.05,233,217,8,4,0,71,68,160,149,2,1,2,3,3,20,13,1,4,1,3,0,3,,0,,,0.15,3,1,2,30,0,0,1,,1,0,0,,,0,,,,,,,271,2,21
2026-01-11,17,Persija Jakarta vs Persib Bandung,0 - 1,Away,Persib,L,6.66,158,131,25,11,0,76,70,79,58,1,0,1,2,7,10,10,2,0,0,1,0,1,,0,,,0.09,6,1,3,31,1,0,1,,0,0,0,,,0,,,,,,,186,0,30
2026-01-23,18,Persija Jakarta vs Madura United FC,2 - 0,Home,Madura Utd,W,7.116666666666667,231,213,16,10,0,93,91,132,119,10,4,3,4,10,20,27,4,6,6,2,0,1,1,0,,,0.1,6,0,8,44,0,0,0,2,1,2,0,,,0,,,,,,,310,0,20
2026-01-30,19,Persija Jakarta vs Persita Tangerang,2 - 0,Away,Persita,W,6.771428571428571,187,167,22,13,0,107,100,75,64,5,2,1,8,3,38,17,9,4,3,3,2,1,,0,,,0.13,15,3,7,36,0,0,1,3,3,2,0,,,0,,,,,,,251,1,26
2026-02-08,20,Persija Jakarta vs Arema FC,0 - 2,Home,Arema,L,6.825,208,177,15,6,0,102,97,103,78,12,4,1,10,11,32,25,5,6,4,3,2,1,,0,,,0.32,9,4,5,46,1,1,1,,4,3,1,,,0,,,,,,,269,2,42
2026-02-15,21,Persija Jakarta vs Bali United FC,1 - 0,Away,Bali Utd,W,6.983333333333333,186,164,16,10,0,101,95,78,66,5,4,2,2,5,18,13,1,1,1,3,0,3,,0,,,0.2,9,3,5,30,1,0,0,,2,4,0,,,0,,,,,,,248,0,25
2026-02-20,22,Persija Jakarta vs PSM Makassar,2 - 1,Home,PSM,W,6.5,144,123,10,4,0,67,57,75,65,6,0,2,7,5,32,16,6,5,4,2,1,1,,0,,,0.18,7,2,2,26,0,0,1,,1,6,0,,,0,,,,,,,187,0,25
2026-02-24,23,Persija Jakarta vs Malut United FC,3 - 2,Away,Malut Utd,W,6.65,124,103,12,5,1,54,48,58,45,3,1,2,2,5,23,14,3,5,3,0,0,,,0,,,0,19,3,12,31,0,0,1,1,1,5,1,,,0,,,,,,,163,1,31
2026-03-03,24,Persija Jakarta vs Borneo FC Samarinda,2 - 2,Home,Borneo,D,6.283333333333333,148,122,25,12,0,72,61,72,59,3,2,2,10,6,43,17,8,4,3,2,1,,1,0,,,0.18,12,1,2,32,2,1,2,2,0,6,0,,,0,,,,,,,190,2,27
2026-03-15,26,Persija Jakarta vs Dewa United FC,1 - 1,Home,Dewa Utd,D,,,,,,0,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,
2026-04-05,26,Persija Jakarta vs Bhayangkara Presisi FC,2 - 3,Away,Bhayangkara ,L,6.3,92,78,13,4,0,59,55,30,20,1,0,,4,4,22,8,3,1,1,0,0,,,0,,,0,13,3,5,17,0,0,0,,0,4,0,,,0,,,,,,,128,0,25
