Date,Round,Match,Score,Venue,Opponent,Result,Avg Rating,Passes,Acc. Passes,Long Balls,Acc. Long Balls,Assists,Own Half Passes,Acc. Own Half Passes,Opp Half Passes,Acc. Opp Half Passes,Crosses,Acc. Crosses,Key Passes,Aerial Duels Lost,Aerial Duels Won,Duels Lost,Duels Won,Challenges Lost,Contests,Contests Won,Shots,Shots on Target,Shots off Target,Shots Blocked,Goals,Hit Woodwork,Big Chances Missed,xG,Clearances,Blocked Shots,Interceptions,Ball Recoveries,Tackles,Tackles Won,Errors → Shot,Dispossessed,Fouls Drawn,Fouls Committed,Offsides,Pen. Conceded,Pen. Won,Own Goals,Crosses Not Claimed,High Claims,Saves (Box),Saves,Sweeper Actions,Acc. Sweeper Actions,Touches,Unsuccessful Touches,Possession Lost
2025-08-10,1,Persita Tangerang vs Persija Jakarta,0 - 4,Away,Persija,L,6.1,141,112,29,13,0,105,95,33,16,1,0,,4,9,18,11,1,0,0,1,0,,1,0,,,0.01,7,1,4,40,1,0,0,,3,0,0,,,0,,,,,,,161,0,28
2025-08-16,2,Persita Tangerang vs Persebaya Surabaya,0 - 1,Home,Persebaya,L,6.82,153,122,28,19,0,72,62,76,57,7,1,,7,10,36,15,3,3,2,4,1,2,1,0,,,0.18,7,2,6,33,3,2,1,1,4,4,0,,,0,,,,,,,197,3,33
2025-08-24,3,Persita Tangerang vs Madura United FC,1 - 1,Away,Madura Utd,D,6.62,121,94,18,8,0,55,45,54,42,6,4,1,7,13,35,22,1,1,0,3,1,2,,0,,,0.35,21,0,8,33,1,0,1,2,3,5,0,1,,0,,,,,,,168,0,48
2025-10-04,4,Persita Tangerang vs Semen Padang FC,2 - 0,Home,Semen Padang,W,7.1,222,200,29,20,0,148,141,65,51,3,0,,9,12,21,17,2,3,2,2,1,1,,0,,,0.02,2,3,6,35,0,0,3,1,1,3,0,,0,0,,,,,,,269,2,36
2025-09-11,5,Persita Tangerang vs PSM Makassar,2 - 1,Home,PSM,W,6.4,89,65,15,10,0,46,38,35,23,4,1,,12,11,36,20,10,2,2,1,0,1,,0,,,0.02,10,0,2,24,0,0,0,1,1,0,0,,,0,,,,,,,113,0,36
2025-09-21,6,Persita Tangerang vs Persijap Jepara,2 - 1,Away,Persijap,W,6.425,70,56,16,10,0,31,29,34,23,2,0,,6,6,36,18,9,1,1,2,0,1,1,0,,,0.29,14,4,7,29,5,3,1,,3,4,0,1,,0,,,,,,,98,3,25
2025-09-27,7,Persita Tangerang vs Persib Bandung,? - ?,Home,Persib,D,6.65,84,64,20,5,0,46,42,32,17,3,1,,14,8,23,11,1,0,0,1,1,,,0,,,0.2,17,1,10,23,0,0,0,,2,2,0,1,,0,,,,,,,116,1,29
2025-12-30,8,Persita Tangerang vs Arema FC,1 - 0,Away,Arema,W,6.633333333333333,84,66,15,9,0,57,48,25,16,1,0,,9,6,25,18,6,1,1,1,0,,1,0,,,0.13,24,2,6,39,0,0,3,,3,4,0,,,0,,,,,,,121,0,33
2025-10-17,9,Persita Tangerang vs PSIM Yogyakarta,4 - 0,Home,PSIM,W,6.84,68,45,15,3,0,41,33,18,8,1,0,,3,9,28,21,0,0,0,0,0,,,0,,,0,10,3,6,33,1,1,0,,1,6,0,,,0,,,,,,,94,0,28
2025-10-25,10,Persita Tangerang vs Bali United FC,0 - 0,Away,Bali Utd,D,7,165,144,25,14,0,109,101,50,37,1,1,,5,3,18,10,5,0,0,0,0,,,0,,,0,9,1,9,34,1,1,0,4,1,2,0,,,0,,,,,,,202,0,30
2025-11-01,11,Persita Tangerang vs Bhayangkara Presisi FC,1 - 1,Away,Bhayangkara ,D,6.52,206,169,18,6,0,116,102,87,66,7,2,1,9,8,27,18,1,2,2,2,1,1,,0,1,,0.09,5,3,5,43,1,0,4,2,6,3,0,,,0,,,,,,,264,1,51
2025-11-06,12,Persita Tangerang vs PSBS Biak,1 - 2,Away,PSBS,L,6.3,134,114,25,13,0,84,76,40,31,0,0,,3,3,31,5,10,2,0,1,0,1,,0,,,0.15,5,3,11,28,0,0,1,2,2,1,0,,,0,,,,,,,174,0,27
2025-11-23,13,Persita Tangerang vs Malut United FC,0 - 0,Home,Malut Utd,D,7.02,144,126,24,17,0,86,81,50,40,2,2,,5,6,24,11,4,1,0,1,0,1,,0,,,0.05,6,4,8,30,1,1,1,,0,1,0,,,0,,,,,,,176,0,19
2025-11-29,14,Persita Tangerang vs Dewa United FC,0 - 1,Away,Dewa Utd,L,6.74,175,150,22,11,0,83,79,85,67,8,4,4,8,7,27,12,3,2,2,3,0,2,1,0,,,0.08,10,1,8,40,0,0,0,,2,1,0,1,,0,,,,,,,228,0,26
2025-12-21,15,Persita Tangerang vs Persik Kediri,3 - 0,Home,Persik,W,6.825,112,89,19,10,0,66,55,41,30,1,0,,3,6,20,14,5,1,1,1,0,1,,0,,,0,5,1,3,36,0,0,1,,5,4,0,,,0,,,,,,,127,0,31
2026-01-04,16,Persita Tangerang vs Persis Solo,3 - 1,Away,Persis,W,6.7,136,113,30,20,0,77,69,48,37,0,0,1,16,8,38,10,3,1,0,2,0,2,,0,,,0.01,6,2,7,38,0,0,0,,2,1,0,,,0,,,,,,,174,1,36
2026-01-09,17,Persita Tangerang vs Borneo FC Samarinda,2 - 0,Home,Borneo,W,7.05,105,95,16,13,0,57,53,41,36,2,2,1,9,3,24,7,2,1,0,1,0,1,,0,,,0.09,14,3,8,26,0,0,1,,2,1,0,,,0,,,,,,,142,2,18
2026-01-24,18,Persita Tangerang vs Bhayangkara Presisi FC,1 - 1,Home,Bhayangkara ,D,6.775,199,162,18,6,0,115,101,82,61,7,2,1,9,8,26,17,1,2,2,2,1,1,,0,1,,0.09,5,3,4,40,1,0,4,2,6,3,0,,,0,,,,,,,257,1,50
2026-01-30,19,Persita Tangerang vs Persija Jakarta,0 - 2,Home,Persija,L,6.44,155,134,19,7,0,91,85,63,48,5,3,3,3,6,25,15,6,3,2,0,0,,,0,,,0,10,1,1,22,1,1,1,,3,3,1,,,0,,,,,,,191,0,32
2026-02-08,20,Persita Tangerang vs Semen Padang FC,0 - 1,Away,Semen Padang,L,6.533333333333333,118,96,25,12,0,60,56,43,30,6,2,,12,10,25,16,5,1,1,0,0,,,0,,,0,13,3,9,32,1,0,0,,6,9,0,1,,0,,,,,,,149,0,35
2026-02-16,21,Persita Tangerang vs PSBS Biak,2 - 1,Home,PSBS,W,6.8,145,127,17,12,0,59,54,81,70,9,3,6,5,24,31,29,5,1,0,3,1,,2,0,,,0.04,20,3,3,41,0,0,2,1,2,6,0,,,0,,,,,,,200,3,40
2026-02-22,22,Persita Tangerang vs Persib Bandung,0 - 1,Away,Persib,L,6.7,139,119,26,17,0,90,85,46,32,2,1,,8,7,36,19,8,0,0,1,0,1,,0,,,0,15,2,10,32,5,3,1,1,5,0,0,,,0,,,,,,,190,2,36
2026-02-26,23,Persita Tangerang vs Dewa United FC,0 - 1,Home,Dewa Utd,L,6.8,182,158,28,20,0,100,93,69,56,3,2,1,6,9,28,18,7,3,2,4,2,1,1,0,,,0.03,8,2,11,43,2,1,1,,2,3,0,,,0,,,,,,,246,3,33
2026-03-02,24,Persita Tangerang vs PSM Makassar,4 - 2,Away,PSM,W,6.66,178,150,15,7,0,112,105,58,41,5,2,2,15,11,31,17,4,1,1,0,0,,,0,,,0,17,5,6,35,2,1,0,,6,4,0,1,,0,,,,,,,227,1,37
2026-03-07,25,Persita Tangerang vs Madura United FC,4 - 1,Home,Madura Utd,W,6.54,204,182,19,10,0,140,132,60,48,2,2,1,0,3,22,9,6,2,1,1,1,,,0,,,0.28,11,2,1,28,0,0,3,,2,2,0,,,0,,,,,,,246,2,19
2026-04-04,26,Persita Tangerang vs Persebaya Surabaya,0 - 1,Away,Persebaya,L,6.633333333333333,190,162,32,13,0,112,100,76,61,0,0,,7,12,26,17,5,2,0,2,0,,2,0,,,0.04,21,0,7,38,1,1,0,2,1,6,0,,,0,,,,,,,241,1,39
2026-04-10,27,Persita Tangerang vs Arema FC,0 - 1,Home,Arema,L,6.56,185,165,14,10,0,112,101,70,61,4,3,,5,6,29,11,6,0,0,2,0,2,,0,,,0.12,10,3,7,35,0,0,4,1,2,4,0,,,0,,,,,,,247,4,29
2026-04-19,28,Persita Tangerang vs Persik Kediri,0 - 1,Away,Persik,L,6.4,144,116,25,8,0,90,82,52,34,2,1,1,8,4,31,14,2,1,0,1,0,,1,0,,,0,11,0,1,30,0,0,0,2,1,7,0,,,0,,,,,,,178,0,34
2026-04-23,29,Persita Tangerang vs Bali United FC,0 - 1,Home,Bali Utd,L,6.75,156,138,19,11,0,84,77,70,59,1,0,,6,10,20,19,3,4,3,2,0,2,,0,,,0.2,12,2,3,38,0,0,0,,5,6,1,,,0,,,,,,,200,2,31
2026-04-30,30,Persita Tangerang vs PSIM Yogyakarta,1 - 0,Away,PSIM,W,7.1,76,58,19,14,0,41,33,28,20,1,1,,6,10,24,15,5,0,0,0,0,,,0,,,0,25,4,8,25,0,0,2,,3,2,0,,,0,,,,,,,109,1,37
2026-05-05,31,Persita Tangerang vs Borneo FC Samarinda,0 - 2,Away,Borneo,L,6.66,132,115,11,5,0,79,73,42,34,6,4,3,2,5,21,13,6,3,3,3,0,2,1,0,,,0.01,4,3,12,31,0,0,0,,0,2,0,,,0,,,,,,,167,0,22
2026-05-10,32,Persita Tangerang vs Persijap Jepara,0 - 3,Home,Persijap,L,6.333333333333333,231,194,19,8,0,110,103,117,87,12,6,2,3,5,30,20,5,2,2,1,0,1,,0,,,0.01,3,1,6,41,0,0,1,1,2,3,0,,,0,,,,,,,280,0,43
