Date,Round,Match,Score,Venue,Opponent,Result,Avg Rating,Passes,Acc. Passes,Long Balls,Acc. Long Balls,Assists,Own Half Passes,Acc. Own Half Passes,Opp Half Passes,Acc. Opp Half Passes,Crosses,Acc. Crosses,Key Passes,Aerial Duels Lost,Aerial Duels Won,Duels Lost,Duels Won,Challenges Lost,Contests,Contests Won,Shots,Shots on Target,Shots off Target,Shots Blocked,Goals,Hit Woodwork,Big Chances Missed,xG,Clearances,Blocked Shots,Interceptions,Ball Recoveries,Tackles,Tackles Won,Errors → Shot,Dispossessed,Fouls Drawn,Fouls Committed,Offsides,Pen. Conceded,Pen. Won,Own Goals,Crosses Not Claimed,High Claims,Saves (Box),Saves,Sweeper Actions,Acc. Sweeper Actions,Touches,Unsuccessful Touches,Possession Lost
2025-08-11,1,PSBS Biak vs Arema FC,1 - 4,Away,Arema,L,6.025,128,111,14,7,0,80,75,42,31,2,0,,3,7,27,22,6,6,4,0,0,,,0,,,0,7,1,9,33,4,3,2,1,5,4,0,1,,0,,,,,,,180,3,29
2025-08-18,2,PSBS Biak vs Borneo FC Samarinda,0 - 1,Home,Borneo,L,6.614285714285714,145,113,25,11,0,81,70,60,40,6,2,,5,2,33,10,8,3,3,2,0,2,,0,,,0.06,14,3,10,30,4,3,0,1,3,6,0,1,,0,,,,,,,206,0,43
2025-08-23,3,PSBS Biak vs Persis Solo,2 - 2,Home,Persis,D,6.766666666666667,156,137,21,10,0,97,93,49,38,0,0,,7,11,13,16,2,0,0,0,0,,,0,,,0,8,3,7,37,0,0,1,,3,2,0,,,0,,,,,,,193,0,31
2025-08-29,4,PSBS Biak vs Persik Kediri,1 - 2,Home,Persik,L,6.766666666666667,94,74,24,17,0,49,44,39,27,1,0,,5,9,26,25,2,2,2,2,1,1,,0,,,0.11,3,0,6,31,0,0,1,,9,7,0,,,0,,,,,,,131,1,25
2025-09-11,5,PSBS Biak vs Semen Padang FC,2 - 1,Away,Semen Padang,W,6.8,109,83,19,6,0,57,44,44,34,3,2,2,8,1,23,13,5,2,1,1,1,,,0,,,0.11,20,0,10,25,1,1,0,,7,1,0,,,0,,,,,,,160,2,43
2025-09-20,6,PSBS Biak vs Dewa United FC,1 - 3,Away,Dewa Utd,L,6.4,148,130,16,11,0,100,93,42,33,2,0,1,3,6,19,8,5,2,1,2,0,,2,0,,,0.02,11,4,8,26,0,0,2,2,1,2,0,,,0,,,,,,,190,2,28
2025-09-25,7,PSBS Biak vs Madura United FC,0 - 0,Home,Madura Utd,D,6.9,122,104,11,7,0,70,63,51,40,12,6,1,4,9,21,14,4,2,1,1,0,,1,0,,,0,6,1,5,33,0,0,1,,0,5,0,,,0,,,,,,,154,0,24
2025-12-29,8,PSBS Biak vs PSIM Yogyakarta,2 - 2,Away,PSIM,D,6.6,85,64,21,10,0,44,38,32,18,6,2,1,7,5,43,16,4,4,3,1,0,1,,0,,,0.03,23,5,20,45,1,1,3,2,3,2,1,,,0,,,,,,,150,5,34
2025-10-17,9,PSBS Biak vs Persib Bandung,0 - 3,Home,Persib,L,6.2,112,95,20,10,0,66,64,41,29,0,0,,1,2,13,6,3,1,1,0,0,,,0,,,0,6,1,4,21,1,1,2,,4,1,0,1,,0,,,,,,,153,1,22
2025-10-24,10,PSBS Biak vs Persebaya Surabaya,0 - 0,Home,Persebaya,D,7.22,143,116,18,10,0,33,30,101,78,29,16,7,1,7,24,15,3,4,4,3,1,2,,0,,,0.3,4,0,7,31,1,0,0,3,3,2,1,,,0,,,,,,,196,3,29
2025-10-31,11,PSBS Biak vs Persija Jakarta,1 - 3,Away,Persija,L,6.18,83,58,17,9,0,54,42,23,12,1,0,,3,3,23,7,8,1,1,0,0,,,0,,,0,7,3,8,19,2,0,2,,2,4,0,1,,0,,,,,,,108,0,28
2025-11-06,12,PSBS Biak vs Persita Tangerang,2 - 1,Home,Persita,W,6.76,160,138,16,8,1,84,78,72,57,5,2,2,4,7,28,19,5,4,4,2,1,,1,0,,,0.11,11,0,4,31,3,3,0,,1,3,0,,,1,,,,,,,195,0,22
2025-11-21,13,PSBS Biak vs PSM Makassar,0 - 5,Away,PSM,L,5.925,178,157,17,11,0,121,110,52,42,1,1,,2,2,17,12,4,1,1,0,0,,,0,,,0,9,1,7,33,1,1,3,,4,1,0,,,0,,,,,,,222,1,30
2025-11-27,14,PSBS Biak vs Persijap Jepara,3 - 2,Home,Persijap,W,6.34,174,144,25,10,0,99,90,71,51,7,2,,5,6,25,10,3,1,1,0,0,,,0,,,0,5,0,7,32,1,1,0,2,1,3,0,1,,0,,,,,,,206,1,43
2025-12-22,15,PSBS Biak vs Bali United FC,0 - 3,Home,Bali Utd,L,6.285714285714286,205,176,25,13,0,112,104,85,66,4,0,1,3,2,35,14,6,7,4,1,0,1,,0,,,0.02,11,2,9,31,3,1,2,4,3,6,0,1,,0,,,,,,,259,0,45
2026-01-04,16,PSBS Biak vs Malut United FC,2 - 6,Away,Malut Utd,L,6.06,123,106,14,8,0,72,68,40,30,2,1,1,3,3,17,16,2,8,7,0,0,,,0,,,0,3,1,9,30,2,1,2,,3,4,0,1,,0,,,,,,,145,0,15
2026-01-12,17,PSBS Biak vs Bhayangkara Presisi FC,4 - 1,Home,Bhayangkara ,W,7.133333333333333,44,30,9,4,0,24,18,9,6,0,0,,3,9,10,10,1,0,0,1,1,,,1,,,0.3,17,1,11,25,0,0,0,1,3,2,0,,,0,,,,,,,74,4,27
2026-01-25,18,PSBS Biak vs Persib Bandung,0 - 1,Away,Persib,L,6.516666666666667,95,71,21,11,0,57,46,35,22,1,0,1,3,4,26,18,6,1,1,1,1,,,0,,,0.02,13,3,7,24,3,3,1,1,4,4,0,,,0,,,,,,,143,3,39
2026-01-31,19,PSBS Biak vs Madura United FC,0 - 0,Away,Madura Utd,D,7.1,94,79,11,2,0,57,51,30,24,0,0,1,7,2,23,13,2,1,1,0,0,,,0,,,0,9,4,5,25,3,2,1,,2,5,0,,,0,,,,,,,123,0,18
2026-02-08,20,PSBS Biak vs PSM Makassar,1 - 2,Home,PSM,L,6.7,168,141,13,5,1,68,63,100,78,10,4,6,4,12,30,26,2,4,2,6,1,3,2,0,,,0.27,8,1,1,33,4,3,3,,5,3,0,,,0,,,,,,,217,0,32
2026-02-16,21,PSBS Biak vs Persita Tangerang,1 - 2,Away,Persita,L,6.54,90,64,21,12,0,46,36,41,28,5,2,3,19,8,45,30,4,3,3,5,1,2,2,0,,,0.37,7,5,5,35,2,0,2,,11,6,0,1,,0,,,,,,,146,2,45
2026-02-21,22,PSBS Biak vs Persis Solo,1 - 1,Away,Persis,D,6.866666666666667,156,130,21,6,0,104,96,49,32,0,0,,6,11,15,17,2,0,0,0,0,,,0,,,0,7,2,2,36,2,2,0,,3,3,0,,,0,,,,,,,181,0,37
2026-02-27,23,PSBS Biak vs PSIM Yogyakarta,2 - 4,Home,PSIM,L,6.55,196,156,24,10,1,104,96,78,51,7,4,5,7,1,32,20,1,9,8,3,1,1,1,0,,,0.05,8,8,15,33,2,1,4,1,6,2,1,,,0,,,,,,,271,4,54
2026-03-05,24,PSBS Biak vs Persik Kediri,1 - 2,Away,Persik,L,6.65,54,42,9,7,0,35,29,15,10,0,0,,7,3,20,6,2,0,0,0,0,,,0,,,0,21,4,8,20,1,1,1,,2,0,0,,,0,,,,,,,86,1,26
2026-03-09,25,PSBS Biak vs Semen Padang FC,0 - 2,Home,Semen Padang,L,6.68,184,158,19,9,0,92,89,80,60,5,0,1,14,9,29,15,7,0,0,2,1,,1,0,,,0.08,7,3,10,34,1,1,0,,5,7,0,,,0,,,,,,,219,1,40
2026-04-06,26,PSBS Biak vs Bali United FC,1 - 6,Away,Bali Utd,L,5.95,140,108,22,10,0,89,79,44,24,9,1,,1,5,30,13,6,3,2,0,0,,,0,,,0,5,4,12,29,1,0,1,3,2,2,0,,,0,,,,,,,190,0,45
2026-04-11,27,PSBS Biak vs Borneo FC Samarinda,1 - 5,Away,Borneo,L,6.171428571428572,90,80,9,6,1,54,49,32,28,0,0,2,4,5,23,12,9,1,0,0,0,,,0,,,0,15,3,10,27,2,2,0,2,1,3,0,,,0,,,,,,,129,2,20
2026-04-18,28,PSBS Biak vs Persija Jakarta,0 - 1,Home,Persija,L,6.6,92,70,18,10,0,48,37,38,28,5,1,,10,7,39,19,8,4,3,0,0,,,0,,,0,23,2,11,32,1,0,2,2,1,3,1,,,0,,,,,,,157,7,41
2026-04-24,29,PSBS Biak vs Persijap Jepara,0 - 2,Away,Persijap,L,6.542857142857143,191,157,26,14,0,115,109,72,46,5,0,1,5,8,35,28,3,4,3,5,0,3,2,0,,,0.24,11,0,4,29,1,1,0,6,4,5,1,,1,0,,,,,,,258,0,49
2026-04-28,30,PSBS Biak vs Malut United FC,0 - 7,Home,Malut Utd,L,6.114285714285714,122,95,21,8,0,73,67,33,17,2,1,,5,6,45,25,10,8,7,1,0,1,,0,,,0,20,6,19,48,6,5,0,,4,0,1,,,0,,,,,,,190,9,48
2026-05-02,31,PSBS Biak vs Persebaya Surabaya,0 - 4,Away,Persebaya,L,6.271428571428571,145,113,20,9,0,93,80,51,32,7,1,1,5,6,29,11,9,0,0,2,1,1,,0,,,0.27,11,9,8,32,3,1,5,1,2,1,1,,,0,,,,,,,210,2,53
2026-05-08,32,PSBS Biak vs Dewa United FC,0 - 5,Home,Dewa Utd,L,6.071428571428571,129,103,19,7,0,76,64,30,20,2,0,1,3,3,34,11,10,3,1,2,0,2,,0,,,0.09,8,5,24,46,0,0,0,2,0,5,0,2,,0,,,,,,,186,7,42
2026-05-15,33,PSBS Biak vs Arema FC,2 - 5,Home,Arema,L,,,,,,1,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,
