Date,Round,Match,Score,Venue,Opponent,Result,Avg Rating,Passes,Acc. Passes,Long Balls,Acc. Long Balls,Assists,Own Half Passes,Acc. Own Half Passes,Opp Half Passes,Acc. Opp Half Passes,Crosses,Acc. Crosses,Key Passes,Aerial Duels Lost,Aerial Duels Won,Duels Lost,Duels Won,Challenges Lost,Contests,Contests Won,Shots,Shots on Target,Shots off Target,Shots Blocked,Goals,Hit Woodwork,Big Chances Missed,xG,Clearances,Blocked Shots,Interceptions,Ball Recoveries,Tackles,Tackles Won,Errors → Shot,Dispossessed,Fouls Drawn,Fouls Committed,Offsides,Pen. Conceded,Pen. Won,Own Goals,Crosses Not Claimed,High Claims,Saves (Box),Saves,Sweeper Actions,Acc. Sweeper Actions,Touches,Unsuccessful Touches,Possession Lost
2025-08-08,1,PSIM Yogyakarta vs Persebaya Surabaya,1 - 0,Away,Persebaya,W,6.95,159,132,30,17,1,63,57,79,62,3,1,1,1,4,20,16,3,0,0,1,0,,1,0,,,0.01,11,2,13,43,1,1,1,2,2,2,0,,,0,,,,,,,200,2,47
2025-08-16,2,PSIM Yogyakarta vs Arema FC,1 - 1,Home,Arema,D,6.833333333333333,209,179,24,17,0,93,86,109,89,12,3,4,10,4,32,13,4,5,3,3,0,,3,0,,,0.01,5,2,6,45,3,2,0,,2,2,0,1,,0,,,,,,,257,1,37
2025-08-24,3,PSIM Yogyakarta vs Persib Bandung,1 - 1,Home,Persib,D,6.5,124,91,26,11,0,59,53,59,34,5,1,1,7,6,30,13,4,2,2,0,0,,,0,,,0,13,4,6,31,0,0,2,1,4,8,0,2,,0,,,,,,,172,0,42
2025-08-30,4,PSIM Yogyakarta vs Malut United FC,2 - 0,Away,Malut Utd,W,7.175,140,122,14,10,1,75,71,56,46,6,1,1,2,6,17,14,5,1,1,0,0,,,0,,,0,9,3,9,39,1,0,2,1,2,0,0,,,0,,,,,,,180,1,20
2025-09-14,5,PSIM Yogyakarta vs Borneo FC Samarinda,1 - 3,Home,Borneo,L,6.55,234,209,22,15,0,100,94,130,112,8,2,1,2,6,24,14,10,1,1,3,0,1,2,0,,,0.12,5,2,6,33,1,0,0,,2,3,0,,,0,,,,,,,301,1,36
2025-09-20,6,PSIM Yogyakarta vs Bali United FC,3 - 1,Away,Bali Utd,W,6.85,139,115,25,12,0,72,66,52,38,2,1,1,10,7,28,12,2,2,2,1,1,,,1,,,0.04,15,1,12,39,3,1,2,1,3,3,0,1,,0,,,,,,,175,0,34
2025-09-27,7,PSIM Yogyakarta vs PSM Makassar,0 - 0,Away,PSM,D,7.133333333333333,217,194,22,13,0,155,148,58,43,2,0,1,5,6,22,10,3,1,1,0,0,,,0,,,0,12,1,4,32,2,0,0,1,0,6,0,,,0,,,,,,,269,1,32
2025-12-29,8,PSIM Yogyakarta vs PSBS Biak,2 - 2,Home,PSBS,D,6.666666666666667,225,200,14,12,1,98,90,118,102,13,3,4,8,9,34,21,4,6,5,0,0,,,0,,,0,5,0,8,41,1,1,0,2,1,9,0,,,0,,,,,,,265,1,31
2025-10-17,9,PSIM Yogyakarta vs Persita Tangerang,0 - 4,Away,Persita,L,6.316666666666666,290,258,26,15,0,166,158,120,98,9,4,1,10,5,21,13,4,1,1,1,0,,1,0,,,0.03,2,3,5,29,0,0,3,,4,0,0,,,0,,,,,,,360,1,40
2025-10-22,10,PSIM Yogyakarta vs Dewa United FC,2 - 0,Home,Dewa Utd,W,6.76,151,127,19,10,0,98,90,48,33,3,1,,3,1,19,11,2,2,1,1,0,1,,0,,1,0.34,8,1,7,26,0,0,3,1,3,2,0,,,0,,,,,,,195,0,32
2025-10-31,11,PSIM Yogyakarta vs Persik Kediri,2 - 1,Home,Persik,W,6.65,185,155,26,14,0,111,100,61,49,1,0,,5,9,23,16,2,0,0,0,0,,,0,,,0,6,2,5,37,0,0,1,2,3,5,0,,,0,,,,,,,221,0,41
2025-11-08,12,PSIM Yogyakarta vs Persis Solo,2 - 2,Away,Persis,D,6.725,178,152,27,14,0,100,90,69,57,2,0,,8,7,27,14,3,0,0,2,0,2,,0,,,0.15,5,4,10,44,1,0,1,1,5,5,0,,0,0,,,,,,,236,1,35
2025-11-22,13,PSIM Yogyakarta vs Bhayangkara Presisi FC,1 - 0,Home,Bhayangkara ,W,6.98,219,197,26,17,0,115,111,85,71,4,2,,3,4,29,12,11,3,2,0,0,,,0,,,0,10,1,14,47,0,0,1,1,1,4,0,,,0,,,,,,,286,1,38
2025-11-28,14,PSIM Yogyakarta vs Persija Jakarta,? - ?,Away,Persija,D,6.48,119,91,23,11,0,86,71,32,20,1,0,1,8,4,23,13,5,1,1,1,1,,,0,,,0.01,8,4,2,38,1,0,2,,4,6,0,,,0,,,,,,,145,2,37
2025-12-23,15,PSIM Yogyakarta vs Persijap Jepara,1 - 1,Away,Persijap,D,6.86,267,245,18,10,0,118,112,144,128,6,4,3,6,8,26,23,4,5,3,3,0,1,2,0,,,0.04,13,1,6,49,4,4,3,,2,10,0,,,0,,,,,,,325,0,37
2026-01-04,16,PSIM Yogyakarta vs Semen Padang FC,1 - 0,Home,Semen Padang,W,6.94,234,214,17,8,0,101,92,126,116,3,0,,3,2,34,9,6,1,0,3,0,3,,0,,,0.03,6,2,7,40,5,4,3,1,3,3,0,,1,0,,,,,,,279,1,24
2026-01-10,17,PSIM Yogyakarta vs Madura United FC,3 - 0,Away,Madura Utd,W,6.733333333333333,217,194,10,5,0,125,113,90,79,4,0,2,8,4,33,19,10,4,3,3,2,1,,1,,,0.24,6,1,4,36,0,0,2,,3,5,0,,,0,,,,,,,260,1,35
2026-01-25,18,PSIM Yogyakarta vs Persebaya Surabaya,0 - 3,Home,Persebaya,L,6.58,250,226,20,12,0,145,137,101,87,5,0,1,2,6,16,13,4,2,2,1,0,1,,0,,,0.25,8,3,3,33,2,2,1,,0,1,1,,,0,,,,,,,300,0,29
2026-02-01,19,PSIM Yogyakarta vs Borneo FC Samarinda,1 - 2,Away,Borneo,L,6.74,183,160,20,11,0,116,106,59,47,1,0,,9,3,30,15,4,2,2,2,1,1,,0,1,,0.28,10,3,10,37,0,0,0,,3,4,0,,,0,,,,,,,224,4,27
2026-02-06,20,PSIM Yogyakarta vs Persis Solo,0 - 0,Home,Persis,D,7.02,253,227,26,12,0,100,97,151,129,9,4,,9,9,23,19,2,3,2,1,0,1,,0,1,,0.16,3,1,2,47,2,2,0,2,1,2,0,,,0,,,,,,,304,1,26
2026-02-13,21,PSIM Yogyakarta vs Persik Kediri,2 - 2,Away,Persik,D,6.4,181,153,23,11,1,101,94,72,53,8,4,1,6,0,22,4,3,1,1,0,0,,,0,,,0,7,0,7,25,0,0,0,,0,5,0,,,0,,,,,,,225,4,31
2026-02-23,22,PSIM Yogyakarta vs Bali United FC,3 - 3,Home,Bali Utd,D,6.82,252,222,17,8,0,81,69,158,143,13,9,5,3,8,24,15,5,1,1,4,2,2,,1,,,0.43,2,1,10,41,0,0,1,1,1,1,0,,,0,,,,,,,317,3,31
2026-02-27,23,PSIM Yogyakarta vs PSBS Biak,4 - 2,Away,PSBS,W,7.025,197,179,12,7,0,96,90,95,84,7,3,2,4,2,27,7,6,2,0,3,2,,1,2,,,0.29,15,2,6,26,1,0,1,,2,6,0,,,0,,,,,,,257,0,36
