Date,Round,Match,Score,Venue,Opponent,Result,Avg Rating,Passes,Acc. Passes,Long Balls,Acc. Long Balls,Assists,Own Half Passes,Acc. Own Half Passes,Opp Half Passes,Acc. Opp Half Passes,Crosses,Acc. Crosses,Key Passes,Aerial Duels Lost,Aerial Duels Won,Duels Lost,Duels Won,Challenges Lost,Contests,Contests Won,Shots,Shots on Target,Shots off Target,Shots Blocked,Goals,Hit Woodwork,Big Chances Missed,xG,Clearances,Blocked Shots,Interceptions,Ball Recoveries,Tackles,Tackles Won,Errors → Shot,Dispossessed,Fouls Drawn,Fouls Committed,Offsides,Pen. Conceded,Pen. Won,Own Goals,Crosses Not Claimed,High Claims,Saves (Box),Saves,Sweeper Actions,Acc. Sweeper Actions,Touches,Unsuccessful Touches,Possession Lost
2025-08-08,1,PSM Makassar vs Persijap Jepara,1 - 1,Home,Persijap,D,6.925,86,44,25,11,1,34,16,44,24,5,3,2,10,7,38,24,8,7,6,0,0,,,0,,,0,10,2,10,33,4,1,0,,1,3,0,,,0,,,,,,,130,2,54
2025-08-16,2,PSM Makassar vs Bhayangkara Presisi FC,1 - 1,Away,Bhayangkara ,D,6.72,79,45,26,7,0,29,18,43,23,7,2,,6,9,22,26,0,4,4,2,0,2,,0,,,0.1,14,1,5,27,1,1,0,2,2,4,0,,,0,,,,,,,129,0,53
2025-08-22,3,PSM Makassar vs Semen Padang FC,1 - 1,Away,Semen Padang,D,6.9,109,90,27,19,0,37,35,67,52,6,4,4,3,5,20,20,1,8,4,1,0,1,,0,,,0.07,5,1,3,34,0,0,1,1,2,0,0,,,0,,,,,,,146,0,23
2025-12-06,4,PSM Makassar vs Persebaya Surabaya,1 - 1,Home,Persebaya,D,6.725,89,65,13,7,1,34,25,53,38,9,3,3,3,6,18,11,2,2,0,2,0,2,,0,1,,0.03,7,3,4,27,0,0,2,1,2,3,0,,,0,,,,,,,127,0,39
2025-09-11,5,PSM Makassar vs Persita Tangerang,1 - 2,Away,Persita,L,6.66,165,136,28,18,0,62,56,98,78,8,1,4,7,15,34,33,2,5,3,3,1,2,,0,,,0.17,4,1,4,42,3,1,1,1,6,6,0,2,,0,,,,,,,208,0,51
2025-09-21,6,PSM Makassar vs Persija Jakarta,2 - 0,Home,Persija,W,6.825,54,37,13,7,0,27,18,22,14,1,0,,9,9,39,19,4,1,1,0,0,,,0,,,0,6,1,6,29,3,2,1,3,2,6,0,,,0,,,,,,,77,4,30
2025-09-27,7,PSM Makassar vs PSIM Yogyakarta,0 - 0,Home,PSIM,D,7.225,82,50,22,10,0,28,21,47,27,7,5,2,4,1,23,13,3,7,7,2,0,2,,0,,,0.08,8,2,6,30,1,1,2,1,2,2,0,,,0,,,,,,,119,0,50
2025-12-27,8,PSM Makassar vs Persib Bandung,0 - 1,Away,Persib,L,6.7,119,100,19,8,0,64,61,51,35,7,2,2,7,9,28,29,4,1,0,0,0,,,0,,,0,3,1,7,41,1,0,2,1,10,3,0,,,0,,,,,,,176,0,40
2025-10-19,9,PSM Makassar vs Arema FC,1 - 2,Home,Arema,L,6.86,136,110,11,7,1,51,47,84,62,14,2,4,3,3,24,21,5,11,8,2,2,,,1,,,0.05,13,0,4,35,0,0,0,2,1,1,0,,,0,,,,,,,186,1,32
2025-10-25,10,PSM Makassar vs Persik Kediri,1 - 1,Away,Persik,D,6.95,106,80,20,11,0,48,41,56,39,8,2,5,2,4,26,15,4,7,6,3,2,1,,0,,,0.17,20,0,4,24,1,0,0,1,4,4,0,,,0,,,,,,,152,0,34
2025-11-02,11,PSM Makassar vs Madura United FC,1 - 1,Home,Madura Utd,D,6.925,185,150,17,12,0,69,55,108,90,10,3,3,6,0,34,22,6,8,7,2,1,,1,0,,,0.06,5,1,5,36,1,0,0,4,1,7,0,,,0,,,,,,,242,0,38
2025-11-09,12,PSM Makassar vs Dewa United FC,1 - 0,Away,Dewa Utd,W,7.08,118,99,19,10,0,58,51,55,43,4,0,2,6,3,29,19,2,3,2,0,0,,,0,,,0,19,2,10,41,4,3,2,3,5,2,0,,,0,,,,,,,176,2,39
2025-11-21,13,PSM Makassar vs PSBS Biak,5 - 0,Home,PSBS,W,7.475,205,183,24,17,1,103,98,94,78,4,3,3,4,5,27,13,4,6,2,1,1,,,1,,,0.25,4,1,10,32,0,0,2,1,3,3,1,,,0,,,,,,,248,0,28
2025-11-29,14,PSM Makassar vs Persis Solo,4 - 3,Away,Persis,W,7.05,171,152,13,10,2,64,60,99,87,3,0,8,8,4,28,18,5,9,5,2,2,,,1,,,0.79,9,1,10,35,1,1,0,1,2,2,0,,0,0,,,,,,,216,0,29
2025-12-21,15,PSM Makassar vs Malut United FC,0 - 1,Home,Malut Utd,L,7.325,170,140,18,6,0,84,73,76,59,6,2,5,4,10,33,32,5,8,6,7,2,3,2,0,,,0.63,7,0,10,51,4,3,0,,9,2,0,,,0,,,,,,,225,0,38
2026-01-03,16,PSM Makassar vs Borneo FC Samarinda,1 - 2,Away,Borneo,L,6.825,119,97,16,10,0,46,36,69,57,10,6,,7,3,33,17,11,3,3,0,0,,,0,,,0,18,1,11,41,2,0,0,,4,4,0,,,0,,,,,,,156,4,32
2026-01-09,17,PSM Makassar vs Bali United FC,0 - 2,Home,Bali Utd,L,6.033333333333333,86,68,13,9,0,38,32,47,35,6,3,1,6,7,31,13,6,3,2,4,2,2,,0,,,0.35,6,0,4,21,2,1,0,2,5,6,0,,,0,,,,,,,131,1,36
2026-01-24,18,PSM Makassar vs Persijap Jepara,0 - 2,Away,Persijap,L,6.725,131,106,19,10,0,54,50,71,51,5,2,2,3,4,36,16,4,6,4,3,2,1,,0,,,0.07,5,1,3,35,3,3,0,2,2,3,0,,,0,,,,,,,189,0,34
2026-02-02,19,PSM Makassar vs Semen Padang FC,0 - 0,Home,Semen Padang,D,7.05,136,103,26,12,0,77,67,51,31,6,1,,6,4,20,15,1,4,3,1,0,1,,0,,,0,5,0,7,32,2,0,0,,4,4,0,,,0,,,,,,,170,1,35
2026-02-08,20,PSM Makassar vs PSBS Biak,2 - 1,Away,PSBS,W,6.875,98,78,14,10,0,44,36,50,41,11,9,4,5,2,25,11,0,1,1,0,0,,,0,,,0,0,8,2,24,0,0,3,3,5,2,0,,,0,,,,,,,136,1,33
2026-02-14,21,PSM Makassar vs Dewa United FC,0 - 2,Home,Dewa Utd,L,6.22,113,84,19,5,0,64,57,45,25,1,0,,6,2,31,12,4,6,2,3,1,1,1,0,,,0.09,9,3,6,23,0,0,1,,2,1,0,,,0,,,,,,,149,1,30
2026-02-20,22,PSM Makassar vs Persija Jakarta,1 - 2,Away,Persija,L,6.35,86,65,21,10,0,54,46,31,18,3,0,,5,8,34,17,6,2,1,5,2,2,1,0,,,0.32,15,2,6,28,0,0,3,2,2,4,0,,,0,,,,,,,128,2,39
