Date,Round,Match,Score,Venue,Opponent,Result,Avg Rating,Passes,Acc. Passes,Long Balls,Acc. Long Balls,Assists,Own Half Passes,Acc. Own Half Passes,Opp Half Passes,Acc. Opp Half Passes,Crosses,Acc. Crosses,Key Passes,Aerial Duels Lost,Aerial Duels Won,Duels Lost,Duels Won,Challenges Lost,Contests,Contests Won,Shots,Shots on Target,Shots off Target,Shots Blocked,Goals,Hit Woodwork,Big Chances Missed,xG,Clearances,Blocked Shots,Interceptions,Ball Recoveries,Tackles,Tackles Won,Errors → Shot,Dispossessed,Fouls Drawn,Fouls Committed,Offsides,Pen. Conceded,Pen. Won,Own Goals,Crosses Not Claimed,High Claims,Saves (Box),Saves,Sweeper Actions,Acc. Sweeper Actions,Touches,Unsuccessful Touches,Possession Lost
2025-08-09,1,Semen Padang FC vs Persib Bandung,0 - 2,Away,Persib,L,6.633333333333333,196,167,25,16,0,106,102,83,63,8,4,1,5,0,39,18,9,6,6,1,0,1,,0,,,0,7,7,3,29,3,1,2,,5,6,1,,,0,,,,,,,257,3,37
2025-08-15,2,Semen Padang FC vs Dewa United FC,2 - 0,Home,Dewa Utd,W,6.925,101,79,17,11,0,61,49,33,26,3,1,3,1,0,23,8,4,0,0,1,0,,1,0,,,0,3,4,8,26,0,0,2,2,5,4,0,,,0,,,,,,,137,0,24
2025-08-22,3,Semen Padang FC vs PSM Makassar,1 - 1,Home,PSM,D,6.42,129,99,31,11,0,85,72,36,21,2,1,1,10,5,37,14,3,1,1,0,0,,,0,,,0,5,1,10,28,0,0,3,1,1,5,2,,,0,,,,,,,156,0,34
2025-10-04,4,Semen Padang FC vs Persita Tangerang,0 - 2,Away,Persita,L,6.4,180,151,24,14,0,111,104,68,46,5,2,1,9,6,29,13,2,2,2,4,1,3,,0,,,0.15,6,2,3,27,1,1,4,2,4,6,0,,,0,,,,,,,216,1,37
2025-09-11,5,Semen Padang FC vs PSBS Biak,1 - 2,Home,PSBS,L,6.783333333333333,193,152,16,6,0,70,56,119,95,17,3,4,4,15,26,27,4,6,4,6,3,2,1,1,1,,0.8,5,3,3,34,0,0,3,2,5,2,0,,,0,,,,,,,255,0,45
2025-09-19,6,Semen Padang FC vs Persebaya Surabaya,0 - 1,Away,Persebaya,L,6.52,143,118,24,9,0,85,75,51,37,4,2,2,4,7,32,16,6,3,1,1,0,1,,0,,,0.02,7,1,8,35,2,0,1,1,3,8,0,,,0,,,,,,,187,3,34
2025-09-26,7,Semen Padang FC vs Bali United FC,1 - 3,Home,Bali Utd,L,6.7,173,137,30,16,0,75,68,90,65,13,5,3,5,6,28,17,5,6,5,4,0,3,1,0,,,0.3,7,3,8,41,0,0,1,1,5,5,0,1,,0,,,,,,,244,1,47
2025-12-28,8,Semen Padang FC vs Madura United FC,1 - 5,Away,Madura Utd,L,6.04,179,153,21,12,0,106,105,68,46,5,2,1,6,6,24,19,5,4,4,3,1,1,1,0,,,0.29,7,3,3,20,1,0,2,1,5,5,0,1,,0,,,,,,,241,0,32
2025-10-20,9,Semen Padang FC vs Bhayangkara Presisi FC,0 - 1,Home,Bhayangkara ,L,6.975,173,130,41,21,0,84,72,78,51,10,4,,4,8,22,18,7,6,6,1,0,1,,0,,,0.18,8,2,9,45,1,1,1,2,3,5,1,,,0,,,,,,,217,2,54
2025-10-26,10,Semen Padang FC vs Malut United FC,0 - 1,Away,Malut Utd,L,6.625,95,73,19,10,0,52,48,31,20,5,2,,5,1,28,8,8,8,4,0,0,,,0,,,0,14,1,10,27,0,0,0,,2,3,0,,,0,,,,,,,135,2,27
