Player,Team,Pos,Min,MP,Passes,Acc. Passes,Long Balls,Acc. Long Balls,Assists,Own Half Passes,Acc. Own Half Passes,Opp Half Passes,Acc. Opp Half Passes,Crosses,Acc. Crosses,Key Passes,Aerial Duels Lost,Aerial Duels Won,Duels Lost,Duels Won,Challenges Lost,Contests,Contests Won,Shots,Shots on Target,Shots off Target,Shots Blocked,Goals,Hit Woodwork,Big Chances Missed,xG,Clearances,Blocked Shots,Interceptions,Ball Recoveries,Tackles,Tackles Won,Errors → Shot,Dispossessed,Fouls Drawn,Fouls Committed,Offsides,Pen. Conceded,Pen. Won,Own Goals,Crosses Not Claimed,High Claims,Saves (Box),Saves,Sweeper Actions,Acc. Sweeper Actions,Touches,Unsuccessful Touches,Possession Lost,expected_assists
Abduh Lestaluhu,Malut United FC,D,489,29,36.07361963190184,30,4.233128834355829,2.208588957055215,0,17.85276073619632,15.276073619631902,17.484662576687118,14.171779141104295,1.1042944785276074,0.36809815950920244,,1.1042944785276074,0.9202453987730062,9.202453987730062,2.7607361963190185,2.576687116564417,0.9202453987730062,0.5521472392638037,0.5521472392638037,0,0.36809815950920244,0.18404907975460122,0,,,0.009202453987730062,2.392638036809816,0.18404907975460122,0.9202453987730062,6.625766871165644,0.7361963190184049,0.36809815950920244,0,0.36809815950920244,0.36809815950920244,1.2883435582822085,0.18404907975460122,,,0,,,,,,,45.0920245398773,0,9.386503067484663,0
Abdul Rahman,PSM Makassar,M,235,24,27.574468085106382,20.680851063829788,3.8297872340425534,2.6808510638297873,0,5.74468085106383,4.9787234042553195,21.4468085106383,15.702127659574469,1.5319148936170213,0.3829787234042553,0.3829787234042553,1.5319148936170213,1.148936170212766,15.702127659574469,8.808510638297872,1.5319148936170213,3.0638297872340425,1.9148936170212767,2.297872340425532,0.7659574468085106,0.3829787234042553,1.148936170212766,0.3829787234042553,,,0.22595744680851063,1.5319148936170213,0,,9.574468085106384,0.3829787234042553,0,0.7659574468085106,1.5319148936170213,3.0638297872340425,2.6808510638297873,0,,,0,,,,,,,50.170212765957444,0.3829787234042553,12.638297872340425,0.015319148936170212
Abrizal Umanailo,Semen Padang FC,M,630,29,21.285714285714285,15.428571428571429,2,1,0,8.571428571428571,6.857142857142857,12,8.142857142857142,3.142857142857143,0.7142857142857143,0.2857142857142857,1.2857142857142858,0.7142857142857143,11.857142857142858,7.142857142857143,1.8571428571428572,4.142857142857143,2.7142857142857144,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.14285714285714285,0,,,0.015714285714285715,1,0.14285714285714285,0.5714285714285714,4.571428571428571,1.1428571428571428,0.42857142857142855,0.14285714285714285,0.42857142857142855,2.5714285714285716,2.2857142857142856,0.2857142857142857,,,0,,,,,,,36.285714285714285,0.5714285714285714,9.285714285714286,0.03142857142857143
Abu Kamara,PSM Makassar,F,568,15,10.933098591549296,6.971830985915493,1.267605633802817,0.6338028169014085,0.15845070422535212,1.9014084507042253,1.267605633802817,8.873239436619718,5.545774647887324,0,0,0.4753521126760563,5.862676056338028,1.9014084507042253,13.943661971830986,3.4859154929577465,0,0.4753521126760563,0.31690140845070425,2.852112676056338,0.7922535211267606,1.7429577464788732,0.31690140845070425,0.4753521126760563,,0.15845070422535212,0.4278169014084507,0.15845070422535212,0.15845070422535212,,1.267605633802817,0.4753521126760563,0,0,1.1091549295774648,1.267605633802817,1.5845070422535212,0.4753521126760563,,,0,,,,,,,23.926056338028168,0.7922535211267606,10.140845070422536,0.05545774647887324
Achmad Iqbal Bachtiar,Semen Padang FC,G,90,29,,,,,0,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,
Achmad Maulana,Arema FC,D,212,3,23.77358490566038,17.40566037735849,3.8207547169811322,2.1226415094339623,0,7.6415094339622645,7.216981132075472,14.00943396226415,9.764150943396226,0.8490566037735849,0,0.42452830188679247,0.8490566037735849,1.6981132075471699,5.943396226415095,4.245283018867925,0.8490566037735849,1.2735849056603774,0.8490566037735849,0.8490566037735849,0,,0.8490566037735849,0,,,0.029716981132075472,1.2735849056603774,0,0.42452830188679247,7.216981132075472,0.8490566037735849,0.42452830188679247,0,,0,0.8490566037735849,0.42452830188679247,0.42452830188679247,,0,,,,,,,31.41509433962264,0.8490566037735849,8.49056603773585,0.0042452830188679245
Achmat Fahrul Aditia,PSM Makassar,F,335,22,17.46268656716418,13.432835820895523,1.0746268656716418,0.5373134328358209,0,5.641791044776119,5.104477611940299,11.82089552238806,8.328358208955224,1.8805970149253732,0.26865671641791045,0.26865671641791045,1.3432835820895523,1.0746268656716418,9.134328358208956,5.104477611940299,0.8059701492537313,1.8805970149253732,0.8059701492537313,0.8059701492537313,0,0.5373134328358209,0.26865671641791045,0,,,0.09940298507462686,0.26865671641791045,0,,5.104477611940299,0.26865671641791045,0.26865671641791045,0.5373134328358209,0.26865671641791045,2.6865671641791047,1.3432835820895523,0,,,0,,,,,,,29.01492537313433,0.5373134328358209,8.059701492537313,0.008059701492537314
Adam Alis,Persib Bandung,M,1318,28,35.50834597875569,30.18209408194234,3.4825493171471926,1.7071320182094083,0.13657056145675264,12.564491654021245,11.403641881638848,21.783004552352047,17.754172989377846,1.5705614567526556,0.8194233687405159,1.0925644916540211,0.34142640364188165,0.20485584218512898,7.579666160849772,4.4385432473444615,0.7511380880121397,1.6388467374810318,1.1608497723823976,1.7071320182094083,0.40971168437025796,0.8877086494688923,0.40971168437025796,0.2731411229135053,0.13657056145675264,0.06828528072837632,0.19119878603945373,0.4779969650986343,0.2731411229135053,1.5705614567526556,7.306525037936267,0.7511380880121397,0.4779969650986343,0.13657056145675264,0.7511380880121397,0.8877086494688923,1.0925644916540211,0,,0,0,,,,,,,51.14567526555387,0.20485584218512898,7.511380880121396,0.11949924127465858
Adam Przybek,Persib Bandung,G,90,9,12,10,4,2,0,9,7,2,2,0,0,,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,2,3,0,0,0,,0,1,0,,,0,0,0,1,2,0,0,15,0,2,0
Ade Kristiano,Semen Padang FC,D,553,13,32.22423146473779,25.714285714285715,4.06871609403255,1.4647377938517179,0,15.623869801084991,13.182640144665461,14.972875226039783,11.066907775768536,1.6274864376130198,0.650994575045208,0.650994575045208,0.650994575045208,1.301989150090416,5.533453887884268,2.766726943942134,0.650994575045208,0.8137432188065099,0.488245931283906,0.162748643761302,0,,0.162748643761302,0,,,0.0016274864376130199,3.092224231464738,0.325497287522604,1.952983725135624,6.8354430379746836,0.325497287522604,0.325497287522604,0,,0.162748643761302,1.139240506329114,0,,,0,,,,,,,39.22242314647378,0.325497287522604,8.788426763110307,0.048824593128390596
