Metric,Team,League Avg,Rank
Possession %,53.6%,50.0%,5 / 18
Poss % (Neutral / Draw),53.7%,50.5%,6 / 18
Poss % (Home),55.1%,51.5%,5 / 18
Poss % (Away),52.2%,48.6%,6 / 18
Pass Accuracy %,84.5%,81.5%,4 / 18
Direct Play %,10.6%,12.1%,15 / 18
Direct % (When Losing),10.4%,11.9%,15 / 18
Territory %,46.1%,52.4%,17 / 18
Avg Shots,14.000,12.346,4 / 18
Avg xG,1.875,1.434,2 / 18
xG per Shot,0.135,0.115,2 / 18
Key Passes / Shot,0.637,0.627,9 / 18
Cross / Shot,1.318,1.282,7 / 18
Shot Dominance,1.223,1.330,7 / 18
xG Dominance,1.680,2.099,8 / 18
Proactive Defense %,18.0%,16.7%,4 / 18
Step-Out Ratio %,12.7%,18.2%,17 / 18
Def. Actions / Opp. Shot,2.612,3.150,16 / 18
Aerial Tendency %,16.3%,16.8%,12 / 18
Aerial Win Rate %,48.1%,46.3%,5 / 18
Duels per Match,132.194,137.085,14 / 18
Shots (Winning),14.174,13.326,6 / 18
Shots (Losing),13.600,11.311,2 / 18
