Metric,Team,League Avg,Rank
Possession %,57.4%,50.0%,3 / 18
Poss % (Neutral / Draw),54.9%,50.5%,5 / 18
Poss % (Home),57.4%,51.5%,3 / 18
Poss % (Away),57.5%,48.6%,2 / 18
Pass Accuracy %,85.3%,81.5%,2 / 18
Direct Play %,8.9%,12.1%,17 / 18
Direct % (When Losing),9.6%,11.9%,17 / 18
Territory %,55.1%,52.4%,4 / 18
Avg Shots,11.968,12.346,8 / 18
Avg xG,1.525,1.434,7 / 18
xG per Shot,0.124,0.115,7 / 18
Key Passes / Shot,0.663,0.627,3 / 18
Cross / Shot,1.523,1.282,2 / 18
Shot Dominance,1.240,1.330,6 / 18
xG Dominance,2.236,2.099,3 / 18
Proactive Defense %,16.2%,16.7%,10 / 18
Step-Out Ratio %,16.7%,18.2%,13 / 18
Def. Actions / Opp. Shot,2.852,3.150,12 / 18
Aerial Tendency %,13.0%,16.8%,18 / 18
Aerial Win Rate %,45.9%,46.3%,11 / 18
Duels per Match,126.290,137.085,18 / 18
Shots (Winning),12.688,13.326,10 / 18
Shots (Losing),12.182,11.311,6 / 18
