Metric,Team,League Avg,Rank
Possession %,51.0%,50.0%,8 / 18
Poss % (Neutral / Draw),51.2%,50.5%,8 / 18
Poss % (Home),53.2%,51.5%,7 / 18
Poss % (Away),48.8%,48.6%,8 / 18
Pass Accuracy %,82.9%,81.5%,6 / 18
Direct Play %,12.1%,12.1%,9 / 18
Direct % (When Losing),12.9%,11.9%,5 / 18
Territory %,52.1%,52.4%,11 / 18
Avg Shots,14.233,12.346,3 / 18
Avg xG,1.652,1.434,4 / 18
xG per Shot,0.111,0.115,12 / 18
Key Passes / Shot,0.614,0.627,11 / 18
Cross / Shot,1.127,1.282,17 / 18
Shot Dominance,1.558,1.330,3 / 18
xG Dominance,1.979,2.099,5 / 18
Proactive Defense %,19.0%,16.7%,2 / 18
Step-Out Ratio %,18.6%,18.2%,8 / 18
Def. Actions / Opp. Shot,3.313,3.150,5 / 18
Aerial Tendency %,16.8%,16.8%,9 / 18
Aerial Win Rate %,47.5%,46.3%,7 / 18
Duels per Match,129.267,137.085,15 / 18
Shots (Winning),16.214,13.326,3 / 18
Shots (Losing),12.700,11.311,4 / 18
