Metric,Team,League Avg,Rank
Possession %,44.7%,50.0%,15 / 18
Poss % (Neutral / Draw),47.2%,50.5%,11 / 18
Poss % (Home),44.6%,51.5%,16 / 18
Poss % (Away),44.9%,48.6%,13 / 18
Pass Accuracy %,79.5%,81.5%,15 / 18
Direct Play %,13.5%,12.1%,4 / 18
Direct % (When Losing),12.9%,11.9%,6 / 18
Territory %,52.4%,52.4%,9 / 18
Avg Shots,11.344,12.346,13 / 18
Avg xG,1.267,1.434,13 / 18
xG per Shot,0.113,0.115,10 / 18
Key Passes / Shot,0.592,0.627,16 / 18
Cross / Shot,0.929,1.282,18 / 18
Shot Dominance,1.097,1.330,13 / 18
xG Dominance,1.221,2.099,16 / 18
Proactive Defense %,16.5%,16.7%,7 / 18
Step-Out Ratio %,15.9%,18.2%,16 / 18
Def. Actions / Opp. Shot,3.462,3.150,4 / 18
Aerial Tendency %,17.1%,16.8%,8 / 18
Aerial Win Rate %,45.1%,46.3%,13 / 18
Duels per Match,147.438,137.085,2 / 18
Shots (Winning),10.889,13.326,17 / 18
Shots (Losing),12.000,11.311,7 / 18
