Metric,Team,League Avg,Rank
Possession %,55.0%,50.0%,4 / 18
Poss % (Neutral / Draw),57.4%,50.5%,2 / 18
Poss % (Home),56.6%,51.5%,4 / 18
Poss % (Away),53.4%,48.6%,5 / 18
Pass Accuracy %,82.1%,81.5%,7 / 18
Direct Play %,11.6%,12.1%,12 / 18
Direct % (When Losing),10.6%,11.9%,14 / 18
Territory %,51.5%,52.4%,14 / 18
Avg Shots,11.419,12.346,12 / 18
Avg xG,1.457,1.434,8 / 18
xG per Shot,0.128,0.115,5 / 18
Key Passes / Shot,0.601,0.627,14 / 18
Cross / Shot,1.491,1.282,3 / 18
Shot Dominance,1.133,1.330,11 / 18
xG Dominance,1.629,2.099,9 / 18
Proactive Defense %,15.7%,16.7%,15 / 18
Step-Out Ratio %,18.3%,18.2%,9 / 18
Def. Actions / Opp. Shot,3.185,3.150,6 / 18
Aerial Tendency %,18.2%,16.8%,2 / 18
Aerial Win Rate %,49.2%,46.3%,3 / 18
Duels per Match,142.452,137.085,4 / 18
Shots (Winning),11.636,13.326,12 / 18
Shots (Losing),11.714,11.311,10 / 18
