Metric,Team,League Avg,Rank
Possession %,45.3%,50.0%,14 / 18
Poss % (Neutral / Draw),47.1%,50.5%,12 / 18
Poss % (Home),47.7%,51.5%,13 / 18
Poss % (Away),42.9%,48.6%,16 / 18
Pass Accuracy %,80.9%,81.5%,12 / 18
Direct Play %,13.4%,12.1%,5 / 18
Direct % (When Losing),13.4%,11.9%,3 / 18
Territory %,46.8%,52.4%,16 / 18
Avg Shots,10.656,12.346,16 / 18
Avg xG,1.316,1.434,12 / 18
xG per Shot,0.122,0.115,8 / 18
Key Passes / Shot,0.546,0.627,18 / 18
Cross / Shot,1.196,1.282,13 / 18
Shot Dominance,1.008,1.330,15 / 18
xG Dominance,1.379,2.099,12 / 18
Proactive Defense %,16.2%,16.7%,9 / 18
Step-Out Ratio %,10.9%,18.2%,18 / 18
Def. Actions / Opp. Shot,2.874,3.150,11 / 18
Aerial Tendency %,20.5%,16.8%,1 / 18
Aerial Win Rate %,48.4%,46.3%,4 / 18
Duels per Match,138.531,137.085,8 / 18
Shots (Winning),12.417,13.326,11 / 18
Shots (Losing),9.643,11.311,15 / 18
