Metric,Team,League Avg,Rank
Possession %,49.0%,50.0%,9 / 18
Poss % (Neutral / Draw),45.6%,50.5%,14 / 18
Poss % (Home),51.8%,51.5%,8 / 18
Poss % (Away),46.3%,48.6%,12 / 18
Pass Accuracy %,80.7%,81.5%,13 / 18
Direct Play %,11.7%,12.1%,11 / 18
Direct % (When Losing),11.6%,11.9%,12 / 18
Territory %,52.2%,52.4%,10 / 18
Avg Shots,11.750,12.346,10 / 18
Avg xG,1.352,1.434,10 / 18
xG per Shot,0.112,0.115,11 / 18
Key Passes / Shot,0.601,0.627,13 / 18
Cross / Shot,1.210,1.282,11 / 18
Shot Dominance,1.088,1.330,14 / 18
xG Dominance,1.757,2.099,6 / 18
Proactive Defense %,15.7%,16.7%,16 / 18
Step-Out Ratio %,22.2%,18.2%,2 / 18
Def. Actions / Opp. Shot,2.820,3.150,13 / 18
Aerial Tendency %,15.5%,16.8%,17 / 18
Aerial Win Rate %,48.1%,46.3%,6 / 18
Duels per Match,140.156,137.085,6 / 18
Shots (Winning),11.545,13.326,14 / 18
Shots (Losing),12.750,11.311,3 / 18
