Metric,Team,League Avg,Rank
Possession %,51.6%,50.0%,7 / 18
Poss % (Neutral / Draw),50.1%,50.5%,9 / 18
Poss % (Home),53.4%,51.5%,6 / 18
Poss % (Away),49.7%,48.6%,7 / 18
Pass Accuracy %,80.9%,81.5%,11 / 18
Direct Play %,12.5%,12.1%,7 / 18
Direct % (When Losing),11.7%,11.9%,11 / 18
Territory %,52.8%,52.4%,7 / 18
Avg Shots,13.562,12.346,5 / 18
Avg xG,1.577,1.434,5 / 18
xG per Shot,0.113,0.115,9 / 18
Key Passes / Shot,0.657,0.627,4 / 18
Cross / Shot,1.232,1.282,10 / 18
Shot Dominance,1.269,1.330,5 / 18
xG Dominance,2.021,2.099,4 / 18
Proactive Defense %,17.2%,16.7%,5 / 18
Step-Out Ratio %,24.9%,18.2%,1 / 18
Def. Actions / Opp. Shot,3.111,3.150,7 / 18
Aerial Tendency %,16.1%,16.8%,15 / 18
Aerial Win Rate %,42.5%,46.3%,16 / 18
Duels per Match,128.844,137.085,16 / 18
Shots (Winning),14.833,13.326,5 / 18
Shots (Losing),12.273,11.311,5 / 18
