Metric,Team,League Avg,Rank
Possession %,44.5%,50.0%,17 / 18
Poss % (Neutral / Draw),44.4%,50.5%,17 / 18
Poss % (Home),45.8%,51.5%,15 / 18
Poss % (Away),43.2%,48.6%,15 / 18
Pass Accuracy %,75.8%,81.5%,18 / 18
Direct Play %,16.1%,12.1%,1 / 18
Direct % (When Losing),14.3%,11.9%,2 / 18
Territory %,55.9%,52.4%,3 / 18
Avg Shots,10.969,12.346,15 / 18
Avg xG,1.352,1.434,10 / 18
xG per Shot,0.125,0.115,6 / 18
Key Passes / Shot,0.639,0.627,8 / 18
Cross / Shot,1.294,1.282,9 / 18
Shot Dominance,1.201,1.330,9 / 18
xG Dominance,1.687,2.099,7 / 18
Proactive Defense %,15.8%,16.7%,14 / 18
Step-Out Ratio %,22.0%,18.2%,3 / 18
Def. Actions / Opp. Shot,4.034,3.150,3 / 18
Aerial Tendency %,16.4%,16.8%,11 / 18
Aerial Win Rate %,46.4%,46.3%,9 / 18
Duels per Match,149.344,137.085,1 / 18
Shots (Winning),11.533,13.326,15 / 18
Shots (Losing),11.000,11.311,12 / 18
