Metric,Team,League Avg,Rank
Possession %,45.5%,50.0%,13 / 18
Poss % (Neutral / Draw),50.0%,50.5%,10 / 18
Poss % (Home),50.2%,51.5%,11 / 18
Poss % (Away),41.1%,48.6%,17 / 18
Pass Accuracy %,81.3%,81.5%,10 / 18
Direct Play %,12.7%,12.1%,6 / 18
Direct % (When Losing),13.2%,11.9%,4 / 18
Territory %,51.9%,52.4%,12 / 18
Avg Shots,10.548,12.346,18 / 18
Avg xG,1.383,1.434,9 / 18
xG per Shot,0.133,0.115,3 / 18
Key Passes / Shot,0.654,0.627,5 / 18
Cross / Shot,1.301,1.282,8 / 18
Shot Dominance,0.856,1.330,18 / 18
xG Dominance,1.620,2.099,10 / 18
Proactive Defense %,18.3%,16.7%,3 / 18
Step-Out Ratio %,21.2%,18.2%,5 / 18
Def. Actions / Opp. Shot,2.910,3.150,10 / 18
Aerial Tendency %,17.3%,16.8%,6 / 18
Aerial Win Rate %,47.0%,46.3%,8 / 18
Duels per Match,143.935,137.085,3 / 18
Shots (Winning),9.750,13.326,18 / 18
Shots (Losing),9.800,11.311,14 / 18
