Metric,Team,League Avg,Rank
Possession %,46.2%,50.0%,12 / 18
Poss % (Neutral / Draw),45.2%,50.5%,16 / 18
Poss % (Home),48.6%,51.5%,12 / 18
Poss % (Away),43.9%,48.6%,14 / 18
Pass Accuracy %,78.3%,81.5%,17 / 18
Direct Play %,15.2%,12.1%,2 / 18
Direct % (When Losing),15.0%,11.9%,1 / 18
Territory %,52.4%,52.4%,8 / 18
Avg Shots,12.031,12.346,7 / 18
Avg xG,1.539,1.434,6 / 18
xG per Shot,0.132,0.115,4 / 18
Key Passes / Shot,0.606,0.627,12 / 18
Cross / Shot,1.130,1.282,16 / 18
Shot Dominance,1.206,1.330,8 / 18
xG Dominance,1.560,2.099,11 / 18
Proactive Defense %,16.2%,16.7%,11 / 18
Step-Out Ratio %,17.2%,18.2%,11 / 18
Def. Actions / Opp. Shot,3.022,3.150,9 / 18
Aerial Tendency %,17.6%,16.8%,4 / 18
Aerial Win Rate %,42.1%,46.3%,17 / 18
Duels per Match,139.125,137.085,7 / 18
Shots (Winning),13.214,13.326,9 / 18
Shots (Losing),11.875,11.311,9 / 18
