Metric,Team,League Avg,Rank
Possession %,53.4%,50.0%,6 / 18
Poss % (Neutral / Draw),56.1%,50.5%,3 / 18
Poss % (Home),50.9%,51.5%,9 / 18
Poss % (Away),55.9%,48.6%,3 / 18
Pass Accuracy %,82.9%,81.5%,5 / 18
Direct Play %,11.4%,12.1%,14 / 18
Direct % (When Losing),12.0%,11.9%,9 / 18
Territory %,52.9%,52.4%,6 / 18
Avg Shots,14.969,12.346,2 / 18
Avg xG,1.992,1.434,1 / 18
xG per Shot,0.135,0.115,1 / 18
Key Passes / Shot,0.641,0.627,6 / 18
Cross / Shot,1.208,1.282,12 / 18
Shot Dominance,2.503,1.330,2 / 18
xG Dominance,7.167,2.099,1 / 18
Proactive Defense %,15.8%,16.7%,13 / 18
Step-Out Ratio %,17.8%,18.2%,10 / 18
Def. Actions / Opp. Shot,4.987,3.150,1 / 18
Aerial Tendency %,17.3%,16.8%,7 / 18
Aerial Win Rate %,53.4%,46.3%,1 / 18
Duels per Match,135.469,137.085,12 / 18
Shots (Winning),15.636,13.326,4 / 18
Shots (Losing),7.500,11.311,18 / 18
