Metric,Team,League Avg,Rank
Possession %,61.3%,50.0%,1 / 18
Poss % (Neutral / Draw),62.5%,50.5%,1 / 18
Poss % (Home),64.8%,51.5%,1 / 18
Poss % (Away),58.0%,48.6%,1 / 18
Pass Accuracy %,85.5%,81.5%,1 / 18
Direct Play %,8.7%,12.1%,18 / 18
Direct % (When Losing),9.8%,11.9%,16 / 18
Territory %,60.9%,52.4%,1 / 18
Avg Shots,16.290,12.346,1 / 18
Avg xG,1.784,1.434,3 / 18
xG per Shot,0.111,0.115,13 / 18
Key Passes / Shot,0.712,0.627,1 / 18
Cross / Shot,1.331,1.282,6 / 18
Shot Dominance,2.995,1.330,1 / 18
xG Dominance,6.187,2.099,2 / 18
Proactive Defense %,14.8%,16.7%,18 / 18
Step-Out Ratio %,16.2%,18.2%,15 / 18
Def. Actions / Opp. Shot,4.075,3.150,2 / 18
Aerial Tendency %,16.3%,16.8%,13 / 18
Aerial Win Rate %,49.7%,46.3%,2 / 18
Duels per Match,136.581,137.085,11 / 18
Shots (Winning),17.579,13.326,1 / 18
Shots (Losing),11.571,11.311,11 / 18
