Metric,Team,League Avg,Rank
Possession %,48.0%,50.0%,11 / 18
Poss % (Neutral / Draw),45.6%,50.5%,15 / 18
Poss % (Home),47.2%,51.5%,14 / 18
Poss % (Away),48.8%,48.6%,9 / 18
Pass Accuracy %,82.0%,81.5%,8 / 18
Direct Play %,11.5%,12.1%,13 / 18
Direct % (When Losing),10.9%,11.9%,13 / 18
Territory %,51.9%,52.4%,13 / 18
Avg Shots,11.875,12.346,9 / 18
Avg xG,1.253,1.434,14 / 18
xG per Shot,0.106,0.115,15 / 18
Key Passes / Shot,0.640,0.627,7 / 18
Cross / Shot,1.449,1.282,4 / 18
Shot Dominance,0.926,1.330,17 / 18
xG Dominance,0.933,2.099,18 / 18
Proactive Defense %,16.2%,16.7%,12 / 18
Step-Out Ratio %,16.5%,18.2%,14 / 18
Def. Actions / Opp. Shot,2.364,3.150,18 / 18
Aerial Tendency %,17.5%,16.8%,5 / 18
Aerial Win Rate %,44.2%,46.3%,15 / 18
Duels per Match,137.156,137.085,10 / 18
Shots (Winning),13.333,13.326,8 / 18
Shots (Losing),9.625,11.311,16 / 18
