Metric,Team,League Avg,Rank
Possession %,42.0%,50.0%,18 / 18
Poss % (Neutral / Draw),46.2%,50.5%,13 / 18
Poss % (Home),44.4%,51.5%,17 / 18
Poss % (Away),39.5%,48.6%,18 / 18
Pass Accuracy %,80.3%,81.5%,14 / 18
Direct Play %,12.3%,12.1%,8 / 18
Direct % (When Losing),12.7%,11.9%,7 / 18
Territory %,46.1%,52.4%,18 / 18
Avg Shots,10.594,12.346,17 / 18
Avg xG,0.977,1.434,18 / 18
xG per Shot,0.086,0.115,18 / 18
Key Passes / Shot,0.579,0.627,17 / 18
Cross / Shot,1.163,1.282,14 / 18
Shot Dominance,1.131,1.330,12 / 18
xG Dominance,1.223,2.099,15 / 18
Proactive Defense %,20.3%,16.7%,1 / 18
Step-Out Ratio %,18.7%,18.2%,7 / 18
Def. Actions / Opp. Shot,2.583,3.150,17 / 18
Aerial Tendency %,15.7%,16.8%,16 / 18
Aerial Win Rate %,45.4%,46.3%,12 / 18
Duels per Match,138.500,137.085,9 / 18
Shots (Winning),17.500,13.326,2 / 18
Shots (Losing),8.591,11.311,17 / 18
