Metric,Team,League Avg,Rank
Possession %,58.7%,50.0%,2 / 18
Poss % (Neutral / Draw),55.8%,50.5%,4 / 18
Poss % (Home),62.1%,51.5%,2 / 18
Poss % (Away),55.3%,48.6%,4 / 18
Pass Accuracy %,84.8%,81.5%,3 / 18
Direct Play %,10.2%,12.1%,16 / 18
Direct % (When Losing),8.2%,11.9%,18 / 18
Territory %,54.7%,52.4%,5 / 18
Avg Shots,13.188,12.346,6 / 18
Avg xG,1.161,1.434,16 / 18
xG per Shot,0.089,0.115,17 / 18
Key Passes / Shot,0.673,0.627,2 / 18
Cross / Shot,1.147,1.282,15 / 18
Shot Dominance,1.346,1.330,4 / 18
xG Dominance,1.292,2.099,13 / 18
Proactive Defense %,16.3%,16.7%,8 / 18
Step-Out Ratio %,21.3%,18.2%,4 / 18
Def. Actions / Opp. Shot,2.673,3.150,15 / 18
Aerial Tendency %,16.2%,16.8%,14 / 18
Aerial Win Rate %,39.4%,46.3%,18 / 18
Duels per Match,126.656,137.085,17 / 18
Shots (Winning),13.900,13.326,7 / 18
Shots (Losing),14.111,11.311,1 / 18
