Metric,Team,League Avg,Rank
Possession %,44.7%,50.0%,16 / 18
Poss % (Neutral / Draw),43.3%,50.5%,18 / 18
Poss % (Home),42.8%,51.5%,18 / 18
Poss % (Away),46.8%,48.6%,10 / 18
Pass Accuracy %,78.3%,81.5%,16 / 18
Direct Play %,13.7%,12.1%,3 / 18
Direct % (When Losing),11.9%,11.9%,10 / 18
Territory %,58.5%,52.4%,2 / 18
Avg Shots,11.742,12.346,11 / 18
Avg xG,1.232,1.434,15 / 18
xG per Shot,0.108,0.115,14 / 18
Key Passes / Shot,0.629,0.627,10 / 18
Cross / Shot,1.335,1.282,5 / 18
Shot Dominance,1.191,1.330,10 / 18
xG Dominance,1.284,2.099,14 / 18
Proactive Defense %,15.1%,16.7%,17 / 18
Step-Out Ratio %,17.0%,18.2%,12 / 18
Def. Actions / Opp. Shot,3.035,3.150,8 / 18
Aerial Tendency %,17.8%,16.8%,3 / 18
Aerial Win Rate %,46.1%,46.3%,10 / 18
Duels per Match,142.226,137.085,5 / 18
Shots (Winning),11.625,13.326,13 / 18
Shots (Losing),11.929,11.311,8 / 18
