Metric,Team,League Avg,Rank
Possession %,48.6%,50.0%,10 / 18
Poss % (Neutral / Draw),53.1%,50.5%,7 / 18
Poss % (Home),50.9%,51.5%,10 / 18
Poss % (Away),46.4%,48.6%,11 / 18
Pass Accuracy %,81.5%,81.5%,9 / 18
Direct Play %,11.9%,12.1%,10 / 18
Direct % (When Losing),12.2%,11.9%,8 / 18
Territory %,48.9%,52.4%,15 / 18
Avg Shots,11.094,12.346,14 / 18
Avg xG,1.110,1.434,17 / 18
xG per Shot,0.093,0.115,16 / 18
Key Passes / Shot,0.600,0.627,15 / 18
Cross / Shot,1.690,1.282,1 / 18
Shot Dominance,0.968,1.330,16 / 18
xG Dominance,0.933,2.099,17 / 18
Proactive Defense %,16.7%,16.7%,6 / 18
Step-Out Ratio %,19.4%,18.2%,6 / 18
Def. Actions / Opp. Shot,2.795,3.150,14 / 18
Aerial Tendency %,16.5%,16.8%,10 / 18
Aerial Win Rate %,44.6%,46.3%,14 / 18
Duels per Match,133.375,137.085,13 / 18
Shots (Winning),11.400,13.326,16 / 18
Shots (Losing),10.727,11.311,13 / 18
